item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
ri_8fd81c8f1be1896a3616,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,899,704,
ri_94d3d91c39ba383c8340,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,4,5,5,1,True,0,,200,901,893,
ri_6698b5e6cd68e271555b,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,5,1,True,0,,200,874,972,
ri_0130bfc7e0637736636e,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,5,5,5,1,True,0,,200,881,1105,
ri_88da2f9cd1d57975dbab,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,5,5,5,3,True,0,,200,881,1108,
ri_96faa9d065a2ddced8b9,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,5,5,5,1,True,0,,200,900,1204,
ri_2d789c88d9dea3c649bf,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,4,3,5,2,1,3,True,0,,200,901,1425,
ri_4af4bc1a7937f4ee4350,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,5,1,True,0,,200,897,858,
ri_fd5657a869934b782618,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,3,3,3,3,3,3,True,0,,200,881,1868,
ri_27cb7ab379819cfef9ca,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,3,1,4,1,1,5,True,0,,200,877,1259,
ri_d1d541b96991a226d152,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,5,1,True,0,,200,891,993,
ri_54048173a9a69900118d,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,5,1,True,0,,200,883,1074,
ri_bdd239eb95fa893aea08,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,886,804,
ri_f84728d0fc47f13799ec,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,869,921,
ri_0dcd5f70f546e4fac128,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,3,2,4,4,3,3,True,0,,200,872,1462,
ri_cfd23c6f8d79e8e6aa2b,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,4,5,5,1,True,0,,200,904,836,
ri_3408ed56407d0fe2db38,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,3,3,4,5,2,3,True,0,,200,877,1190,
ri_2f90bc2315f80cb94a9e,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,906,753,
ri_c962f7ad42fb1b555c4d,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,4,3,4,5,2,1,True,1,,200,880,848,
ri_d64f00a7aa977ceb53d9,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,5,5,5,1,True,2,,200,877,962,
ri_74c4ea628ba527dfcd17,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,5,5,5,1,True,1,,200,871,919,
ri_cddf9401ef0de588c528,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,3,4,5,1,True,1,,200,871,829,
