item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,judge_quality_composite,parse_success,retry_count,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id,version,concept_key,source_item_id,material_no,question_code,visible_text_sha256
rb18_185f4218daf7,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3,2,4,3,3,3,3.0,True,0,200,1245,134,,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_185f4218daf7,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,4,4,2,3.4,True,0,200,801,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_185f4218daf7,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,4,3,5,4,4,2,4.0,True,0,200,936,139,,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_185f4218daf7,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,4.8,True,0,200,895,129,gemini-3.1-pro-preview,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_185f4218daf7,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,5,3,5,1,4.2,True,0,200,862,1150,,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_185f4218daf7,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,4,5,1,4.4,True,0,200,796,2412,fpv0_e68c0644,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_185f4218daf7,mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,4,3,4,4,4,2,3.8,True,0,200,848,110,,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_185f4218daf7,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,5,4,5,2,4.2,True,0,200,1088,596,,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_185f4218daf7,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,4.8,True,0,200,862,377,,A,adaptation,reader_A_05,5,Q17,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d
rb18_13c2377f8265,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,4,3,5,4,4,2,4.0,True,0,200,1274,129,,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_13c2377f8265,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,5,5,4,1,4.2,True,0,200,818,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_13c2377f8265,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,5,3,5,5,5,1,4.6,True,0,200,962,140,,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_13c2377f8265,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,5,5,5,5,1,5.0,True,0,200,918,131,gemini-3.1-pro-preview,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_13c2377f8265,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,5.0,True,0,200,883,939,,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_13c2377f8265,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,5,1,4.6,True,0,200,812,2381,fpv0_81006e3b,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_13c2377f8265,mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,5,4,5,5,5,1,4.8,True,0,200,869,112,,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_13c2377f8265,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5,4,5,5,5,1,4.8,True,0,200,1112,546,,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_13c2377f8265,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,4.8,True,0,200,884,379,,B,adaptation,reader_B_05,5,Q17,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b
rb18_931de414d2e0,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,4,3,5,4,4,2,4.0,True,0,200,1322,129,,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_931de414d2e0,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,4,2,3.8,True,0,200,844,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_931de414d2e0,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,5,4,5,5,5,1,4.8,True,0,200,979,139,,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_931de414d2e0,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,5,5,5,5,1,5.0,True,0,200,951,130,gemini-3.1-pro-preview,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_931de414d2e0,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,5.0,True,0,200,913,1044,,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_931de414d2e0,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,5.0,True,0,200,837,1918,fpv0_81006e3b,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_931de414d2e0,mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,5,4,5,5,5,1,4.8,True,0,200,900,111,,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_931de414d2e0,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5,5,5,5,5,1,5.0,True,0,200,1147,584,,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_931de414d2e0,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,4.8,True,0,200,908,378,,C,adaptation,reader_C_05,5,Q17,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7
rb18_a91dc810f662,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,4,2,5,4,3,3,3.6,True,0,200,1232,133,,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_a91dc810f662,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,4,2,3.8,True,0,200,792,99,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_a91dc810f662,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,5,3,5,4,5,2,4.4,True,0,200,932,138,,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_a91dc810f662,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,4.8,True,1,200,894,130,gemini-3.1-pro-preview,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_a91dc810f662,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,5,1,4.8,True,0,200,858,1141,,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_a91dc810f662,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,4,4,1,3.8,True,0,200,787,2260,fpv0_e68c0644,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_a91dc810f662,mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,5,3,5,5,4,1,4.4,True,0,200,844,110,,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_a91dc810f662,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,4,5,5,5,1,4.6,True,0,200,1080,595,,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_a91dc810f662,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,4.6,True,0,200,856,377,,A,evolution_no_goal,reader_A_02,2,Q14,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587
rb18_06a41a675601,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,5,3,5,4,4,1,4.2,True,0,200,1288,133,,B,evolution_no_goal,reader_B_02,2,Q14,06a41a6756015352844d09343bec7398a7a4e630bfc5afae549dc9af984af3dc
rb18_06a41a675601,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,3,2,3.6,True,0,200,824,100,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,B,evolution_no_goal,reader_B_02,2,Q14,06a41a6756015352844d09343bec7398a7a4e630bfc5afae549dc9af984af3dc
rb18_06a41a675601,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,5,4,5,5,5,1,4.8,True,0,200,970,140,,B,evolution_no_goal,reader_B_02,2,Q14,06a41a6756015352844d09343bec7398a7a4e630bfc5afae549dc9af984af3dc
rb18_06a41a675601,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,5,5,5,5,1,5.0,True,0,200,927,91,gemini-3.1-pro-preview,B,evolution_no_goal,reader_B_02,2,Q14,06a41a6756015352844d09343bec7398a7a4e630bfc5afae549dc9af984af3dc
rb18_06a41a675601,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,5.0,True,0,200,889,963,,B,evolution_no_goal,reader_B_02,2,Q14,06a41a6756015352844d09343bec7398a7a4e630bfc5afae549dc9af984af3dc
rb18_06a41a675601,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,5.0,True,0,200,817,2537,fpv0_e68c0644,B,evolution_no_goal,reader_B_02,2,Q14,06a41a6756015352844d09343bec7398a7a4e630bfc5afae549dc9af984af3dc
