layer,instrument,form_or_case,material_no,variant,question_code,selection_role,participant_assignment,map_status,confidence,mapped_item_id,legacy_item_id,external_exact_item_id,generator,model,task,domain,concept_id,concept,upstream_810_api_scores_available,exact_text_controlled_api_scores_available,direct_api_lay_comparison,top_candidate_item_id,top_candidate_score,second_candidate_item_id,candidate_margin,confirmed_item_retrieval_rank,core_claim_sha256,core_claim_utf8_characters,target_misconception_sha256,target_misconception_utf8_characters,boundary_conditions_sha256,boundary_conditions_utf8_characters,adaptation_or_intervention_sha256,adaptation_or_intervention_utf8_characters,lay_or_controlled_text_sha256,lay_or_controlled_text_utf8_characters,comprehension_or_pair_question_sha256,comprehension_or_pair_question_utf8_characters
public_reader_ABC,public_reader_A,A,1,A,Q13,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,千问_C_C04,ITEM_064,,Alibaba Qwen,Alibaba Qwen,C,Physics,C04,抛体运动,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",千问_C_C04,0.17406868462947295,DEEPSEEK_C_C04,0.021312224836087662,1,9c7ddeeed872d9604569a1868cba4c1ce7dea541a42252c909b9593b2946af6e,31,2009d6df9a6d75e69a22c9db5c2ed951dead04d931d17c9a90aa9c3d9572cbda,23,15ea18904532886c1514a08cb2cc227d825388bf4604cd1ccf49124904e99f6d,29,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,d419f4ad18e29c5c4ccea82b05401c6b3b2737744f65606638cb48c29c27a5f6,103,595b2a7c9a167fabe17bc2b6c878771850936f803c66cf82ce86566fea513e2b,32
public_reader_ABC,public_reader_A,A,2,A,Q14,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C14,ITEM_314,,DeepSeek,DeepSeek,B,Biology,C14,进化没有预设目标,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_B_C14,0.3151439891340617,DEEPSEEK_C_C14,0.1951811212303452,1,72b243d016f07bff94640ed95e86f66f49456b900cf37af0224128d14452baf9,28,9589385d70b5fc5ea060f6f099a462ffeb46c6c31ac11760b571791c39adb909,19,99c20f212234909834c881e7f924a67236697964a5b44040ba47be9ab239acc3,21,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,5967b75c20da45b61446609fde8abca378e14942b84abb1ebb6401c40643f791,91,910fb9f51d5d93093bcec190a823cb2ca5beb6d38f1fb3bfa7730e04001f1174,23
public_reader_ABC,public_reader_A,A,3,A,Q15,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C20,ITEM_320,,DeepSeek,DeepSeek,B,Geoscience,C20,地质时间,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_B_C20,0.27810410348115266,GPT_A_C20,0.12426163469312085,1,cf12617da6e9e45b4531a6174c0987be08b90284e1387ac33f77dcbbe68f3432,22,77c867e12e2bd0214a255930f2c4efff21c3c96978fe5388219ebe26b3fcb782,32,69eea5aa78fc0dbf0c5bffef4d44d33d70e3144ffaeacd0ecf9e4190d3d6cff4,26,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,c366381d28cd17c7702c56eccc91eb576f59bab544fddf68528ff664c28bb683,100,e1ac949e1d6cd3776f00af2b87a30775b79283c5e7473f482524dce313b2476f,28
public_reader_ABC,public_reader_A,A,4,A,Q16,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,Gemini_B_C18,ITEM_408,,Google Gemini,Google Gemini,B,Biology,C18,光合作用与细胞呼吸,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",Gemini_B_C18,0.3791563539160078,DEEPSEEK_B_C18,0.20679719491543277,1,131f7378d7f33c289cd18be7ab14063a7876fbd99db3b189389322050ccadfc7,20,d1ede800809aec263111ab6e4e5a4c713e9c356ed1692aa36ad6674e12c3cf13,21,3f75ad3bb757a508f8669bc9d4bd920561e9213de2a1daf885bb70e54cae4999,21,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,11562e087c963fcbedac96adba23028305c6e79b9e71ed7637386bf4cd05ca66,91,3ae455ba3afd61e8b94048747f2280c952b12f8184a9a4134d89a69391c75643,24
public_reader_ABC,public_reader_A,A,5,A,Q17,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,GLM_A_C14,ITEM_734,,Zhipu GLM,Zhipu GLM,A,Biology,C14,进化没有预设目标,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",GLM_A_C14,0.19078520003260513,GLM_C_C14,0.03643805423142399,1,2e12559cfc7c8217e43c8e3609f152e04b2561049e3d938df7bba054c818afb1,25,5a310f92d55b5a9d56af7336fea0c21ce07aab9bf8e7337c65d4de69e3846070,18,86e93be1d5a914555d47ecf91ed81c51a4e29e37651db8cdb1f39fe1d2277981,28,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,01e9413c37ba4d3ca526b7c464e56581f9799bc4787599cb16e5117b7ec0ad19,106,77533c13ac25e539bfcce291a983f63c487a66aa2c3b1ab41253cbf0f18c97ba,21
public_reader_ABC,public_reader_A,A,6,A,Q18,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C02,ITEM_302,,DeepSeek,DeepSeek,B,Physics,C02,净力与加速度,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_B_C02,0.33347651371867104,mimo_A_C02,0.1444354346170956,1,7556dfa3fc219c6bc59a57cb15d0a674bbd46ec4c9b900fac58e98b6258f8187,17,642c5f50f9f2762144cae25245e93964643ef32360e408d7f3a24cd29f22d0d1,23,240c90926044990e2234281c74a78bfddfbd2fe7d756da0fa51728d8525b3448,30,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,0695a1b9b2836302f7f085a55dbbe1c4a11ff5f0a38fd691d3579b1495af2f78,98,924d00777b8c515a93f397f0462fb9512d6413165e8a5b4dba7909f8b696ea69,30
public_reader_ABC,public_reader_B,B,1,B,Q13,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,千问_C_C04,ITEM_064,,Alibaba Qwen,Alibaba Qwen,C,Physics,C04,抛体运动,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_C_C04,0.15521349171230847,千问_C_C04,0.008247375161315906,2,9c7ddeeed872d9604569a1868cba4c1ce7dea541a42252c909b9593b2946af6e,31,2009d6df9a6d75e69a22c9db5c2ed951dead04d931d17c9a90aa9c3d9572cbda,23,15ea18904532886c1514a08cb2cc227d825388bf4604cd1ccf49124904e99f6d,29,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,6f7803da847e945f3a9faadad16d805980f0d4882cc3d8a71b4a846690941882,152,595b2a7c9a167fabe17bc2b6c878771850936f803c66cf82ce86566fea513e2b,32
public_reader_ABC,public_reader_B,B,2,B,Q14,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C14,ITEM_314,,DeepSeek,DeepSeek,B,Biology,C14,进化没有预设目标,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",GPT_A_C14,0.09618718582969463,千问_A_C14,0.02636566516227419,4,72b243d016f07bff94640ed95e86f66f49456b900cf37af0224128d14452baf9,28,9589385d70b5fc5ea060f6f099a462ffeb46c6c31ac11760b571791c39adb909,19,99c20f212234909834c881e7f924a67236697964a5b44040ba47be9ab239acc3,21,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,81513e14c965a6de56f5014124739ca5be5ddf4c6dce45a8f4eb52bd11e0e952,145,910fb9f51d5d93093bcec190a823cb2ca5beb6d38f1fb3bfa7730e04001f1174,23
public_reader_ABC,public_reader_B,B,3,B,Q15,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C20,ITEM_320,,DeepSeek,DeepSeek,B,Geoscience,C20,地质时间,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_B_C20,0.1691871798588935,GPT_A_C20,0.02268948174486296,1,cf12617da6e9e45b4531a6174c0987be08b90284e1387ac33f77dcbbe68f3432,22,77c867e12e2bd0214a255930f2c4efff21c3c96978fe5388219ebe26b3fcb782,32,69eea5aa78fc0dbf0c5bffef4d44d33d70e3144ffaeacd0ecf9e4190d3d6cff4,26,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,0775edac8df2209bbe15190e561cad5f405a88d41daeb162fc0ced9f11643bf4,149,e1ac949e1d6cd3776f00af2b87a30775b79283c5e7473f482524dce313b2476f,28
public_reader_ABC,public_reader_B,B,4,B,Q16,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,Gemini_B_C18,ITEM_408,,Google Gemini,Google Gemini,B,Biology,C18,光合作用与细胞呼吸,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",GPT_A_C18,0.2957663985751249,claude_A_C18,0.051273889177619075,4,131f7378d7f33c289cd18be7ab14063a7876fbd99db3b189389322050ccadfc7,20,d1ede800809aec263111ab6e4e5a4c713e9c356ed1692aa36ad6674e12c3cf13,21,3f75ad3bb757a508f8669bc9d4bd920561e9213de2a1daf885bb70e54cae4999,21,7973e826dfc423b4510bd9e3f040269cc8a4d5b8b0b565e5bb4d1fe50b54837e,93,f275201ba899ab7ac121d903ce6651979e8acc6d9fb952eb9c50d01fde3eb0f5,141,3ae455ba3afd61e8b94048747f2280c952b12f8184a9a4134d89a69391c75643,24
