item_id,domain,concept,task_type,generated_text
ri_0130bfc7e0637736636e,Chemistry,化学反应与物理变化,B,"{""concept"":""化学反应与物理变化"",""id"":""C10"",""scene"":""美术课剪纸只是变形，实验中烧纸却生成新物质。"",""tags"":[""化学"",""物理"",""新物质""],""title"":""剪纸燃纸"",""warning"":""形状改变不一定是化学反应。""}"
ri_8fd81c8f1be1896a3616,Geoscience,火山与板块边界,C,"{""answer"":""A"",""concept"":""火山与板块边界"",""explain"":""板块俯冲或张裂常促成火山活动。"",""id"":""C23"",""options"":{""A"":""边界处岩浆活动强"",""B"":""火山随机出现"",""C"":""海浪冲出火山"",""D"":""只因地表太热""},""question"":""许多火山为何沿板块边界分布？""}"
ri_2d789c88d9dea3c649bf,Geoscience,地球内部结构,A,"{""concept"":""地球内部结构"",""correction"":""地幔绝大部分是固态岩石，只有外地核是液态，内地核也是固态。"",""id"":""C24"",""misconception"":""地球内部全都是液态的岩浆。"",""text"":""地球内部从外到内分为地壳、地幔和地核，温度和压力随深度逐渐增加。""}"
ri_fd5657a869934b782618,Biology,光合作用与细胞呼吸,A,"{""concept"":""光合作用与细胞呼吸"",""correction"":""植物昼夜都进行呼吸作用，消耗O₂释放CO₂。"",""id"":""C18"",""misconception"":""植物白天只进行光合作用"",""text"":""光合作用吸收CO₂释放O₂，细胞呼吸则相反，都涉及能量转换。""}"
ri_6698b5e6cd68e271555b,Biology,遗传信息与性状,A,"{""concept"":""遗传信息与性状"",""correction"":""性状是基因与环境共同作用的结果。"",""id"":""C16"",""misconception"":""基因决定一切性状"",""text"":""基因控制性状，但环境也影响性状表达。""}"
ri_88da2f9cd1d57975dbab,Physics,抛体运动,B,"{""concept"":""抛体运动"",""id"":""C04"",""scene"":""小刚扔皮球，皮球虽受重力，水平方向仍保持匀速运动。"",""tags"":[""抛体"",""重力"",""匀速""],""title"":""抛出的皮球"",""warning"":""误以为抛体水平方向会减速。""}"
ri_27cb7ab379819cfef9ca,Geoscience,岩石循环,B,"{""concept"":""岩石循环"",""id"":""C21"",""scene"":""小磊捡到花岗岩，老师说它祖先可能是海底泥沙或火山熔岩。"",""tags"":[""岩石循环"",""三大类"",""转化""],""title"":""石头变形记"",""warning"":""任何岩石都能转变为另一类岩石。""}"
ri_94d3d91c39ba383c8340,Physics,圆周运动,C,"{""answer"":""B"",""concept"":""圆周运动"",""explain"":""身体的惯性倾向直线运动，被转盘带动才觉外甩。"",""id"":""C05"",""options"":{""A"":""离心力把你外拉"",""B"":""身体保持原运动方向"",""C"":""转盘在收缩"",""D"":""空气往外推""},""question"":""游乐场转盘上感到被向外甩，这是怎么回事？""}"
ri_d1d541b96991a226d152,Biology,进化没有预设目标,B,"{""concept"":""进化没有预设目标"",""id"":""C14"",""scene"":""深洞里的鱼退化了眼睛，省下能量求生。在黑暗中，失去视力反而是赢家。"",""tags"":[""进化无向"",""适应即胜"",""非必然""],""title"":""黑暗中的盲鱼"",""warning"":""进化论不代表从低级到高级的必然进步。""}"
ri_96faa9d065a2ddced8b9,Chemistry,质量守恒,C,"{""answer"":""C"",""concept"":""质量守恒"",""explain"":""燃烧生成的气体散到空气中，总质量仍守恒。"",""id"":""C07"",""options"":{""A"":""物质消失了"",""B"":""变成能量消失"",""C"":""部分变成气体散逸"",""D"":""只剩灰的质量""},""question"":""纸张烧完，灰比原纸轻很多，物质去哪了？""}"
