repeat_item_id,api_item_id,source_item_uid,domain,concept_id,task_type,generator,generator_model,concept,text,content_json,text_sha256,content_json_sha256,existing_judge_rows,input_integrity_pass_rows,fresh_repetitions
RST001,API810_451,mimo_A_C01,Physics,C01,A,Mimo,Mimo,惯性,惯性是物体保持原有运动状态的性质。,"{""concept"":""惯性"",""correction"":""没有净力时，物体也可保持匀速直线运动。"",""id"":""C01"",""misconception"":""运动必须一直受力"",""text"":""惯性是物体保持原有运动状态的性质。""}",3ee9179dcb531f2cd86e5ea3485178bd97426d2e62adc1246e72e1e5c217ac12,786c85e253bcbaadeee279011f9ca7763463161fcec72c01cf030da08d69cdac,9,9,3
RST002,API810_031,千问_B_C01,Physics,C01,B,Alibaba Qwen,Alibaba Qwen,惯性,"{""id"":""C01"",""concept"":""惯性"",""title"":""公交急刹"",""scene"":""公交急刹，小林身体前倾，才发现身体会保持原来的运动。"",""tags"":[""惯性"",""运动状态"",""净力""],""warning"":""别把惯性误解成一种力。""}","{""concept"":""惯性"",""id"":""C01"",""scene"":""公交急刹，小林身体前倾，才发现身体会保持原来的运动。"",""tags"":[""惯性"",""运动状态"",""净力""],""title"":""公交急刹"",""warning"":""别把惯性误解成一种力。""}",31765d9b255c92e038cc94997ee75354f0ae89eb461f81e208ee993995da9688,39ce96adf41a530d3b98ba8510abcb59ec17547ac33d8f777e4327debf871a69,9,9,3
RST003,API810_601,KIMI_C_C01,Physics,C01,C,Moonshot Kimi,Moonshot Kimi,惯性,"{""id"":""C01"",""concept"":""惯性"",""question"":""公交急刹时，人为什么会前倾？"",""options"":{""A"":""身体保持原运动"",""B"":""前方有吸力"",""C"":""司机推了乘客"",""D"":""重力突然变大""},""answer"":""A"",""explain"":""惯性使身体短时保持原来的运动状态。""}","{""answer"":""A"",""concept"":""惯性"",""explain"":""惯性使身体短时保持原来的运动状态。"",""id"":""C01"",""options"":{""A"":""身体保持原运动"",""B"":""前方有吸力"",""C"":""司机推了乘客"",""D"":""重力突然变大""},""question"":""公交急刹时，人为什么会前倾？""}",06fa897cdba578e7132effab76e19c2eabf8a9e846132a60f71ab8306ef70037,be1238fd31b0e0615ea12157a78ddbbf3fe49503bb0d76c185c21a8aec11123d,9,9,3
RST004,API810_272,DEEPSEEK_A_C02,Physics,C02,A,DeepSeek,DeepSeek,净力与加速度,净力不为零时，物体速度变化会产生加速度。,"{""concept"":""净力与加速度"",""correction"":""净力决定加速度，不是直接决定速度大小。"",""id"":""C02"",""misconception"":""受力大速度一定大"",""text"":""净力不为零时，物体速度变化会产生加速度。""}",5961e5aed766245329b02a607427024c216fa5514991da62fa9f20795fd267ed,e1c07bcd5fe3f1dbc380bd648eb96f6df1c069d495904bf379a7807d38abd62d,9,9,3
RST005,API810_122,claude_B_C02,Physics,C02,B,Anthropic Claude,Anthropic Claude,净力与加速度,"{""id"":""C02"",""concept"":""净力与加速度"",""title"":""电梯里的秤"",""scene"":""阿明站在体重秤上，电梯匀速上升时示数不变，他很困惑。"",""tags"":[""合外力"",""加速度"",""平衡""],""warning"":""匀速运动不代表没有力，是合力为零。""}","{""concept"":""净力与加速度"",""id"":""C02"",""scene"":""阿明站在体重秤上，电梯匀速上升时示数不变，他很困惑。"",""tags"":[""合外力"",""加速度"",""平衡""],""title"":""电梯里的秤"",""warning"":""匀速运动不代表没有力，是合力为零。""}",c59c757ee5e777c4d3503d19d0ba3c5a17006dc5b5cdb08e66f0ab32d4c5e39f,be95b017f5fa65b1ba236bb3cca571c84552f7b3f6f4bdd33bf458e6dd005246,9,9,3
RST006,API810_242,豆包_C_C02,Physics,C02,C,ByteDance Doubao,ByteDance Doubao,净力与加速度,"{""id"":""C02"",""concept"":""净力与加速度"",""question"":""物体速度变快，原因是？"",""options"":{""A"":""受同向净力"",""B"":""受反向净力"",""C"":""不受力"",""D"":""受力平衡""},""answer"":""A"",""explain"":""净力与速度同向时，物体产生正向加速度。""}","{""answer"":""A"",""concept"":""净力与加速度"",""explain"":""净力与速度同向时，物体产生正向加速度。"",""id"":""C02"",""options"":{""A"":""受同向净力"",""B"":""受反向净力"",""C"":""不受力"",""D"":""受力平衡""},""question"":""物体速度变快，原因是？""}",d124841961e8a0ea1c7a92127397cce8021e79d4597ef253648df0566f49ef22,ab6ea011c4452b2a83f76a78a28aee79c20079d39aaf4b90e8dd3cf875c242e3,9,9,3
RST007,API810_543,KIMI_A_C03,Physics,C03,A,Moonshot Kimi,Moonshot Kimi,牛顿第三定律,作用力与反作用力大小相等、方向相反，作用在不同物体上。,"{""concept"":""牛顿第三定律"",""correction"":""两力大小始终相等，作用对象不同。"",""id"":""C03"",""misconception"":""作用力比反作用力大"",""text"":""作用力与反作用力大小相等、方向相反，作用在不同物体上。""}",5f871bb77eee690b892ae96edfcaaf973b7d4e22d6160f73c1603bae61d3e399,7c777bb863b45058d51a9c04a27f0dcf12c846dcccf7bf08ac68445639f810e3,9,9,3
RST008,API810_483,mimo_B_C03,Physics,C03,B,Mimo,Mimo,牛顿第三定律,"{""id"":""C03"",""concept"":""牛顿第三定律"",""title"":""对拳之谜"",""scene"":""小明和小华对拳，两人同时感到疼痛，力始终相互存在。"",""tags"":[""作用力"",""反作用力"",""相互""],""warning"":""作用力与反作用力不能互相抵消。""}","{""concept"":""牛顿第三定律"",""id"":""C03"",""scene"":""小明和小华对拳，两人同时感到疼痛，力始终相互存在。"",""tags"":[""作用力"",""反作用力"",""相互""],""title"":""对拳之谜"",""warning"":""作用力与反作用力不能互相抵消。""}",47228c2c6a790f8784c94d4e4a718a57d28049aef2529e265e92e73dbd91abec,b39a06281289fffe075e9f2742c452d67a19046c0121ce2c601ecde54be018f8,9,9,3
RST009,API810_783,GLM_C_C03,Physics,C03,C,Zhipu GLM,Zhipu GLM,牛顿第三定律,"{""id"":""C03"",""concept"":""牛顿第三定律"",""question"":""马拉车前进，马拉车的力与车拉马的力大小关系是？"",""options"":{""A"":""马拉车的力更大"",""B"":""车拉马的力更大"",""C"":""两者始终大小相等"",""D"":""车动则马拉力大""},""answer"":""C"",""explain"":""作用力与反作用力始终等大反向。""}","{""answer"":""C"",""concept"":""牛顿第三定律"",""explain"":""作用力与反作用力始终等大反向。"",""id"":""C03"",""options"":{""A"":""马拉车的力更大"",""B"":""车拉马的力更大"",""C"":""两者始终大小相等"",""D"":""车动则马拉力大""},""question"":""马拉车前进，马拉车的力与车拉马的力大小关系是？""}",ed47a35ac71911643855ca2c511a3ebea90df168e84b3c2dab870343d4831ebf,4bfd93aa77f778a5cf84320e73458ea2e50521f9e734bee33574123af75b43ec,9,9,3
RST010,API810_634,GPT_A_C04,Physics,C04,A,OpenAI GPT,OpenAI GPT,抛体运动,抛体运动可分解为水平匀速和竖直加速运动。,"{""concept"":""抛体运动"",""correction"":""忽略空气阻力时，水平速度可保持不变。"",""id"":""C04"",""misconception"":""水平力一直推着物体"",""text"":""抛体运动可分解为水平匀速和竖直加速运动。""}",9c01722ebaa7f682e95f56039f5c3f3c334f08ff04cbdab3e7991967e679561c,ed485b0ab04706b6910775a4a8272a7184baea96a3642c45ea43eb717a61258e,9,9,3
RST011,API810_214,豆包_B_C04,Physics,C04,B,ByteDance Doubao,ByteDance Doubao,抛体运动,"{""id"":""C04"",""concept"":""抛体运动"",""title"":""抛出的皮球"",""scene"":""小刚扔皮球，皮球虽受重力，水平方向仍保持匀速运动。"",""tags"":[""抛体"",""重力"",""匀速""],""warning"":""误以为抛体水平方向会减速。""}","{""concept"":""抛体运动"",""id"":""C04"",""scene"":""小刚扔皮球，皮球虽受重力，水平方向仍保持匀速运动。"",""tags"":[""抛体"",""重力"",""匀速""],""title"":""抛出的皮球"",""warning"":""误以为抛体水平方向会减速。""}",03f6f8557c71c01b5f7aebb33e51ce0bfb9b38d881f3391a43247bbf9e2782ff,b4b4d5db5f42c060fae343f4d06a7f407c8abb2a2324e388862d45512dd5131c,9,9,3
RST012,API810_424,Gemini_C_C04,Physics,C04,C,Google Gemini,Google Gemini,抛体运动,"{""id"":""C04"",""concept"":""抛体运动"",""question"":""从同一高度同时松手让子弹掉落和用枪水平射出，谁先落地？"",""options"":{""A"":""水平射出的子弹先落地"",""B"":""自由掉落的子弹先落地"",""C"":""两颗子弹同时落地"",""D"":""水平速度越快落地越晚""},""answer"":""C"",""explain"":""落地时间只由竖直高度决定，与水平速度无关。""}","{""answer"":""C"",""concept"":""抛体运动"",""explain"":""落地时间只由竖直高度决定，与水平速度无关。"",""id"":""C04"",""options"":{""A"":""水平射出的子弹先落地"",""B"":""自由掉落的子弹先落地"",""C"":""两颗子弹同时落地"",""D"":""水平速度越快落地越晚""},""question"":""从同一高度同时松手让子弹掉落和用枪水平射出，谁先落地？""}",e84ffb0027c9978e1cffe9d762ccd7d106b59195c62072f355a8fe9106874dcc,07a45df02fa711c4b0169403b34f9b053b12ff84fc464640d198ad6eff855d06,9,9,3
RST013,API810_095,claude_A_C05,Physics,C05,A,Anthropic Claude,Anthropic Claude,圆周运动,做圆周运动的物体受指向圆心的合外力，速度方向不断改变，所以存在加速度。,"{""concept"":""圆周运动"",""correction"":""速度方向改变即有加速度，向心加速度指向圆心。"",""id"":""C05"",""misconception"":""匀速圆周运动没有加速度"",""text"":""做圆周运动的物体受指向圆心的合外力，速度方向不断改变，所以存在加速度。""}",7c69dcd4ddddfd60c5930b03d00f5fb94eb5837e5c637cb3a11a83d7d7654a7f,b267e5f3ab8cce4b0e86d1d41a3f9651829f612acbefcddf7dbcff1c34283132,9,9,3
RST014,API810_755,GLM_B_C05,Physics,C05,B,Zhipu GLM,Zhipu GLM,圆周运动,"{""id"":""C05"",""concept"":""圆周运动"",""title"":""甩干桶的秘密"",""scene"":""洗衣机甩干时，衣服在桶内转圈，向心力不断改变速度方向。"",""tags"":[""圆周运动"",""向心力"",""变速""],""warning"":""匀速圆周运动并非真正匀速，方向一直在变。""}","{""concept"":""圆周运动"",""id"":""C05"",""scene"":""洗衣机甩干时，衣服在桶内转圈，向心力不断改变速度方向。"",""tags"":[""圆周运动"",""向心力"",""变速""],""title"":""甩干桶的秘密"",""warning"":""匀速圆周运动并非真正匀速，方向一直在变。""}",13d58e3747fde025211d3e9db810ee3e00dedc8ee741d656b44577755c2f203a,649833e15c6211bfc3672c2d2d23b69aabcc4b0d4e36f3314919e6607d09107f,9,9,3
RST015,API810_335,DEEPSEEK_C_C05,Physics,C05,C,DeepSeek,DeepSeek,圆周运动,"{""id"":""C05"",""concept"":""圆周运动"",""question"":""游乐场转盘上感到被向外甩，这是怎么回事？"",""options"":{""A"":""离心力把你外拉"",""B"":""身体保持原运动方向"",""C"":""转盘在收缩"",""D"":""空气往外推""},""answer"":""B"",""explain"":""身体的惯性倾向直线运动，被转盘带动才觉外甩。""}","{""answer"":""B"",""concept"":""圆周运动"",""explain"":""身体的惯性倾向直线运动，被转盘带动才觉外甩。"",""id"":""C05"",""options"":{""A"":""离心力把你外拉"",""B"":""身体保持原运动方向"",""C"":""转盘在收缩"",""D"":""空气往外推""},""question"":""游乐场转盘上感到被向外甩，这是怎么回事？""}",9044fac57bd0abef87bebc420917210df3098681d600260b7a0e9561914dbfb6,febebf947f2516c1ed8c4f7ca29743afc549e8a98b46ebd5e94a749bbc829968,9,9,3
RST016,API810_366,Gemini_A_C06,Physics,C06,A,Google Gemini,Google Gemini,摩擦力与运动,摩擦力是阻碍物体相对运动或相对运动趋势的力。,"{""concept"":""摩擦力与运动"",""correction"":""摩擦力也可以是动力，比如人走路时地面提供的静摩擦力。"",""id"":""C06"",""misconception"":""摩擦力总是阻碍物体的运动。"",""text"":""摩擦力是阻碍物体相对运动或相对运动趋势的力。""}",abccc412924cf69aa7156319c0c3e5840d4576529007fba2c3085634e169faed,51f15c45c582bc6279d5bc6887dc4cca8bb83ba9889c108f176cfd555516bdef,9,9,3
RST017,API810_666,GPT_B_C06,Physics,C06,B,OpenAI GPT,OpenAI GPT,摩擦力与运动,"{""id"":""C06"",""concept"":""摩擦力与运动"",""title"":""跑道起步"",""scene"":""运动会上，小宁蹬地起跑，是地面对鞋的摩擦帮他前进。"",""tags"":[""摩擦"",""运动"",""方向""],""warning"":""摩擦力不总是阻碍运动。""}","{""concept"":""摩擦力与运动"",""id"":""C06"",""scene"":""运动会上，小宁蹬地起跑，是地面对鞋的摩擦帮他前进。"",""tags"":[""摩擦"",""运动"",""方向""],""title"":""跑道起步"",""warning"":""摩擦力不总是阻碍运动。""}",f9d292f3167c9ba0f0c1a048487ac1bc381de28255ffb7abf3333ecb0e47f50e,1252545841b3a75756542eb24e11355bf09539feaa9e1061faa046fcd12cae0e,9,9,3
