judge_provider,paper_model_label,judge_model_requested,actual_api_model,case_id,domain,concept,expected_quality_preference,expected_riskier_version,quality_A,quality_B,risk_A,risk_B,quality_choice,risk_choice,quality_aligned,risk_aligned,both_aligned
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,A01,Physics,Projectile motion,A,B,2.8,3,3,3,B,tie,0,0,0
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,A02,Physics,Net force and acceleration,A,B,4.2,1.4,2,5,A,B,1,1,1
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,A03,Biology,Evolution has no predetermined goal,B,A,3,4.2,3,2,B,A,1,1,1
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,A04,Biology,Photosynthesis and cellular respiration,B,A,1.6,3.6,5,2,B,A,1,1,1
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,A05,Geoscience,Geological time,A,B,3.8,1.8,2,5,A,B,1,1,1
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,A06,Climate/Environment,Weather and climate,A,B,4,1.4,2,5,A,B,1,1,1
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,A07,Chemistry,Chemical equilibrium,A,B,4,1.6,2,5,A,B,1,1,1
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,A08,Climate/Environment,Greenhouse effect,B,A,2,3.8,5,2,B,A,1,1,1
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,A01,Physics,Projectile motion,A,B,3.4,3.6,2,2,B,tie,0,0,0
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,A02,Physics,Net force and acceleration,A,B,4.8,2.6,1,4,A,B,1,1,1
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,A03,Biology,Evolution has no predetermined goal,B,A,3,4.8,2,1,B,A,1,1,1
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,A04,Biology,Photosynthesis and cellular respiration,B,A,1.4,3.8,5,2,B,A,1,1,1
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,A05,Geoscience,Geological time,A,B,4.4,2,1,5,A,B,1,1,1
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,A06,Climate/Environment,Weather and climate,A,B,4.8,1.4,1,5,A,B,1,1,1
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,A07,Chemistry,Chemical equilibrium,A,B,4.6,1.8,1,5,A,B,1,1,1
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,A08,Climate/Environment,Greenhouse effect,B,A,1.8,4.6,5,1,B,A,1,1,1
doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,A01,Physics,Projectile motion,A,B,4,4.2,1,2,B,B,0,1,0
doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,A02,Physics,Net force and acceleration,A,B,4.2,1.6,1,5,A,B,1,1,1
doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,A03,Biology,Evolution has no predetermined goal,B,A,3.2,4.6,2,1,B,A,1,1,1
doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,A04,Biology,Photosynthesis and cellular respiration,B,A,2.2,4,5,2,B,A,1,1,1
doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,A05,Geoscience,Geological time,A,B,4,1.8,1,5,A,B,1,1,1
doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,A06,Climate/Environment,Weather and climate,A,B,4.8,1.8,1,5,A,B,1,1,1
