item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
ri_6698b5e6cd68e271555b,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,5,5,4,2,True,0,,200,1085,372,
ri_8fd81c8f1be1896a3616,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,4,5,5,4,2,True,0,,200,1124,549,
ri_2d789c88d9dea3c649bf,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,4,5,5,5,2,True,0,,200,1119,575,
ri_fd5657a869934b782618,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,5,4,4,2,True,0,,200,1093,597,
ri_88da2f9cd1d57975dbab,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,3,2,5,4,3,3,True,0,,200,1101,601,
ri_94d3d91c39ba383c8340,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,4,5,4,2,True,0,,200,1119,601,
ri_0130bfc7e0637736636e,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5,3,5,5,4,1,True,1,,200,1097,476,
ri_4af4bc1a7937f4ee4350,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,5,4,4,2,True,0,,200,1122,602,
ri_bdd239eb95fa893aea08,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,5,5,4,2,True,0,,200,1111,597,
ri_0dcd5f70f546e4fac128,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,3,2,4,3,2,3,True,0,,200,1091,501,
ri_96faa9d065a2ddced8b9,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,5,5,4,2,True,1,,200,1117,407,
