item_id,version,material_no,question_code,concept_key,concept_label_zh,concept_id,domain,visible_text,visible_text_sha256,mapped_item_id,instrument_file,crosswalk_row_key
reader_A_01,A,1,Q13,projectile_motion,抛体运动,C04,Physics,"阅读材料1：篮球离手以后。
有人问：“篮球被投出去以后，水平方向还受不受力？”
这段材料给出的答案是：不受向前的力。篮球离手以后，手已经不再推它；它之所以继续向前，是因为惯性让它保持原来的水平运动状态。",129767c542cc331f8964f791ac9786011e914888935ed61fe378d724123902fb,千问_C_C04,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|1
reader_A_02,A,2,Q14,evolution_no_goal,进化没有预设目标,C14,Biology,"阅读材料2：完美的陷阱。
小其以为，进化会一步步造出越来越完美的生物。老师摇摇头说：“不一定。生物只要能适应当前环境，就可能保留下来。进化没有提前设定好的目标，也不一定追求完美。”",a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587,DEEPSEEK_B_C14,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|2
reader_A_03,A,3,Q15,geological_time,地质时间,C20,Geoscience,"阅读材料3：像指甲一样慢的板块。
老师说，地球板块的移动很慢，有点像指甲生长。几年、几十年里，人们很难直接看出变化。
这段材料想说明：很多地质变化发生在很长的时间尺度上，远远超过一个人的日常经验。",bbbb5f43784f809c198b104ab9205311fb588b4df34fbc7cc1dbc87c9c90af1a,DEEPSEEK_B_C20,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|3
reader_A_04,A,4,Q16,plant_respiration,光合作用与细胞呼吸,C18,Biology,"阅读材料4：夜间的盆栽。
夜晚的卧室里没有阳光，绿萝仍然在进行生命活动。它会吸收氧气、释放二氧化碳，并通过这个过程获得维持生命所需的能量。
这段材料想说明：植物也会进行呼吸作用。",df546a2e19151618ad7a16d147bfbfe0137eaba193fa99efc5b0835f087e15fc,Gemini_B_C18,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|4
reader_A_05,A,5,Q17,adaptation,进化没有预设目标,C14,Biology,"阅读材料5：进化不一定越来越复杂。
有些人以为，进化就是生物从“低级”一步步变成“高级”。
这段材料认为：生物进化没有固定方向。环境会影响哪些变异更容易保留下来，适应当前环境就可能成功，进化不一定总是变复杂。",185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d,GLM_A_C14,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|5
reader_A_06,A,6,Q18,net_force_vs_velocity,净力与加速度,C02,Physics,"阅读材料6：推车为什么会越来越快。
小艾推购物车时，车越推越快。朋友问：“是不是力越大，速度就越大？”
这段材料给出的提醒是：净力决定的是加速度，也就是速度变化的快慢；它不是直接决定速度本身。",5926132b8302652daa79bd1458c7b679394b1eefda86a2b9867f245f2448a860,DEEPSEEK_B_C02,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|6
reader_B_01,B,1,Q13,projectile_motion,抛体运动,C04,Physics,"阅读材料1：篮球为什么还能向前飞。
篮球被投出去以后，手已经离开篮球，不会继续给它向前的推力。如果先用一个简化模型，暂时忽略空气阻力，那么篮球在水平方向上没有持续的外力。它还能继续向前飞，是因为它会保持离手前已有的水平运动状态。与此同时，重力会让它向下落。在真实环境中，空气阻力也会逐渐影响篮球的运动。",00007c0f6079d4def1f0f554da96ad375327ad6dbebde59310c36bb361266d0a,千问_C_C04,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|1
reader_B_02,B,2,Q14,evolution_no_goal,进化没有预设目标,C14,Biology,"阅读材料2：进化不是奔向完美。
进化并不是按照某个计划去制造“完美生物”。在一个生物群体里，个体之间会有可遗传的差异。某些差异如果刚好更适合当前环境，就可能让这些个体更容易生存和繁殖。这样一代代积累下来，群体就会发生变化。所以，“适应”只是在某个环境中更合适，不等于完美，也不等于更高级。",06a41a6756015352844d09343bec7398a7a4e630bfc5afae549dc9af984af3dc,DEEPSEEK_B_C14,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|2
reader_B_03,B,3,Q15,geological_time,地质时间,C20,Geoscience,"阅读材料3：慢变化也能造成大结果。
很多地质过程在人类日常生活中看起来非常慢。比如，板块一年可能只移动几厘米，短时间内几乎看不出变化。但地球的时间尺度很长。几百万年甚至更久以后，这些很小的移动会不断累积，可能形成山脉、改变海陆位置，带来巨大的地质结果。同时，也有一些地质事件会在短时间内突然发生。",45570a054b7e21616343a19ec1ebaa0f577b3a2d6ba68288e6dffe967ae5b305,DEEPSEEK_B_C20,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|3
reader_B_04,B,4,Q16,plant_respiration,光合作用与细胞呼吸,C18,Biology,"阅读材料4：植物白天和夜晚都在呼吸。
植物既会进行光合作用，也会进行细胞呼吸。光合作用需要光。它把二氧化碳和水变成有机物，并释放氧气。细胞呼吸则是把有机物分解，释放生命活动需要的能量，通常会消耗氧气并释放二氧化碳。植物白天需要能量，夜晚也需要能量，所以白天和夜晚都会进行细胞呼吸。",7d107c521a368d49dee979673b8a5f527c057f5d989a9d99eaa5e569579532c7,Gemini_B_C18,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|4
