layer,row_key,query_concept_id,confirmed_item_id,mapping_evidence,rank,item_id,generator,model,task,domain,concept_id,concept,score
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,1,千问_C_C04,Alibaba Qwen,Alibaba Qwen,C,Physics,C04,抛体运动,0.17406868462947295
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,2,DEEPSEEK_C_C04,DeepSeek,DeepSeek,C,Physics,C04,抛体运动,0.15275645979338529
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,3,GLM_C_C04,Zhipu GLM,Zhipu GLM,C,Physics,C04,抛体运动,0.10671472488933562
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,4,claude_C_C04,Anthropic Claude,Anthropic Claude,C,Physics,C04,抛体运动,0.10197794627053806
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,5,千问_B_C04,Alibaba Qwen,Alibaba Qwen,B,Physics,C04,抛体运动,0.09354941945059084
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,1,DEEPSEEK_B_C14,DeepSeek,DeepSeek,B,Biology,C14,进化没有预设目标,0.3151439891340617
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,2,DEEPSEEK_C_C14,DeepSeek,DeepSeek,C,Biology,C14,进化没有预设目标,0.1199628679037165
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,3,千问_C_C14,Alibaba Qwen,Alibaba Qwen,C,Biology,C14,进化没有预设目标,0.09985358272097435
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,4,千问_A_C14,Alibaba Qwen,Alibaba Qwen,A,Biology,C14,进化没有预设目标,0.09924436123291316
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,5,GLM_C_C14,Zhipu GLM,Zhipu GLM,C,Biology,C14,进化没有预设目标,0.08318008768171793
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,1,DEEPSEEK_B_C20,DeepSeek,DeepSeek,B,Geoscience,C20,地质时间,0.27810410348115266
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,2,GPT_A_C20,OpenAI GPT,OpenAI GPT,A,Geoscience,C20,地质时间,0.15384246878803182
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,3,mimo_A_C20,Mimo,Mimo,A,Geoscience,C20,地质时间,0.1334652747703403
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,4,GLM_A_C20,Zhipu GLM,Zhipu GLM,A,Geoscience,C20,地质时间,0.05766067396345737
