layer,instrument,form_or_case,material_no,variant,question_code,selection_role,participant_assignment,map_status,confidence,mapped_item_id,legacy_item_id,external_exact_item_id,generator,model,task,domain,concept_id,concept,core_claim,target_misconception,boundary_conditions,adaptation_or_intervention,lay_or_controlled_text,comprehension_or_pair_question,upstream_810_api_scores_available,exact_text_controlled_api_scores_available,direct_api_lay_comparison,top_candidate_item_id,top_candidate_score,second_candidate_item_id,candidate_margin,confirmed_item_retrieval_rank
public_reader_ABC,public_reader_A,A,1,A,Q13,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,千问_C_C04,ITEM_064,,Alibaba Qwen,Alibaba Qwen,C,Physics,C04,抛体运动,忽略空气阻力时，离手后无持续水平推力，物体依惯性保持水平运动。,物体只要继续运动，就必然仍有同向的力维持运动。,理想化模型：忽略空气阻力；现实情况需加入阻力、旋转等因素。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料1：篮球离手以后。

有人问：“篮球被投出去以后，水平方向还受不受力？”

这段材料给出的答案是：不受向前的力。篮球离手以后，手已经不再推它；它之所以继续向前，是因为惯性让它保持原来的水平运动状态。",若忽略空气阻力，一个小球被水平抛出后，为什么它还能继续向前运动？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",千问_C_C04,0.17406868462947295,DEEPSEEK_C_C04,0.021312224836087662,1
public_reader_ABC,public_reader_A,A,2,A,Q14,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C14,ITEM_314,,DeepSeek,DeepSeek,B,Biology,C14,进化没有预设目标,进化没有预设终点，可遗传差异在当前环境中影响生存和繁殖。,进化会主动朝更高级、更完美的目标前进。,适应性是环境依赖的，不等于完美或绝对高级。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料2：完美的陷阱。

小其以为，进化会一步步造出越来越完美的生物。老师摇摇头说：“不一定。生物只要能适应当前环境，就可能保留下来。进化没有提前设定好的目标，也不一定追求完美。”",如果某种动物在环境中保留下来，最合理的解释是？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_B_C14,0.3151439891340617,DEEPSEEK_C_C14,0.1951811212303452,1
public_reader_ABC,public_reader_A,A,3,A,Q15,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C20,ITEM_320,,DeepSeek,DeepSeek,B,Geoscience,C20,地质时间,缓慢的板块运动在地质时间上可累积为显著结果。,肉眼短期看不见的变化几乎没有影响，或所有地质事件都只能缓慢发生。,类比说明长时标累积，不意味着所有地质事件匀速或缓慢。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料3：像指甲一样慢的板块。

老师说，地球板块的移动很慢，有点像指甲生长。几年、几十年里，人们很难直接看出变化。

这段材料想说明：很多地质变化发生在很长的时间尺度上，远远超过一个人的日常经验。",关于“板块移动像指甲生长”这个类比，以下理解更准确的是？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_B_C20,0.27810410348115266,GPT_A_C20,0.12426163469312085,1
public_reader_ABC,public_reader_A,A,4,A,Q16,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,Gemini_B_C18,ITEM_408,,Google Gemini,Google Gemini,B,Biology,C18,光合作用与细胞呼吸,植物昼夜都进行细胞呼吸，光合作用需要光。,植物白天只光合、夜间才呼吸，或植物不呼吸。,净气体交换表现受光合与呼吸的相对速率影响。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料4：夜间的盆栽。

夜晚的卧室里没有阳光，绿萝仍然在进行生命活动。它会吸收氧气、释放二氧化碳，并通过这个过程获得维持生命所需的能量。

这段材料想说明：植物也会进行呼吸作用。",黑暗中绿萝吸收氧气、释放二氧化碳，最能说明什么？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",Gemini_B_C18,0.3791563539160078,DEEPSEEK_B_C18,0.20679719491543277,1
public_reader_ABC,public_reader_A,A,5,A,Q17,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,GLM_A_C14,ITEM_734,,Zhipu GLM,Zhipu GLM,A,Biology,C14,进化没有预设目标,进化无固定复杂化方向，简化在特定环境中也可能有利。,进化必然从低级到高级、从简单到复杂。,评价依据是当前环境中的生存和繁殖，不是普遍的复杂性尺度。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料5：进化不一定越来越复杂。

有些人以为，进化就是生物从“低级”一步步变成“高级”。

这段材料认为：生物进化没有固定方向。环境会影响哪些变异更容易保留下来，适应当前环境就可能成功，进化不一定总是变复杂。",关于“进化不总是变复杂”，以下哪项最准确？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",GLM_A_C14,0.19078520003260513,GLM_C_C14,0.03643805423142399,1
public_reader_ABC,public_reader_A,A,6,A,Q18,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C02,ITEM_302,,DeepSeek,DeepSeek,B,Physics,C02,净力与加速度,净力直接决定加速度，而非速度大小。,力越大速度就一定越大，或速度大就一定有大净力。,匀速直线运动时净力为零，但各个作用力可以平衡而非全部不存在。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料6：推车为什么会越来越快。

小艾推购物车时，车越推越快。朋友问：“是不是力越大，速度就越大？”

这段材料给出的提醒是：净力决定的是加速度，也就是速度变化的快慢；它不是直接决定速度本身。",一辆车在平直路面上保持很大的恒定速度运动时，以下哪项更准确？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_B_C02,0.33347651371867104,mimo_A_C02,0.1444354346170956,1
public_reader_ABC,public_reader_B,B,1,B,Q13,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,千问_C_C04,ITEM_064,,Alibaba Qwen,Alibaba Qwen,C,Physics,C04,抛体运动,忽略空气阻力时，离手后无持续水平推力，物体依惯性保持水平运动。,物体只要继续运动，就必然仍有同向的力维持运动。,理想化模型：忽略空气阻力；现实情况需加入阻力、旋转等因素。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料1：篮球为什么还能向前飞。

篮球被投出去以后，手已经离开篮球，不会继续给它向前的推力。如果先用一个简化模型，暂时忽略空气阻力，那么篮球在水平方向上没有持续的外力。它还能继续向前飞，是因为它会保持离手前已有的水平运动状态。与此同时，重力会让它向下落。在真实环境中，空气阻力也会逐渐影响篮球的运动。",若忽略空气阻力，一个小球被水平抛出后，为什么它还能继续向前运动？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_C_C04,0.15521349171230847,千问_C_C04,0.008247375161315906,2
public_reader_ABC,public_reader_B,B,2,B,Q14,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C14,ITEM_314,,DeepSeek,DeepSeek,B,Biology,C14,进化没有预设目标,进化没有预设终点，可遗传差异在当前环境中影响生存和繁殖。,进化会主动朝更高级、更完美的目标前进。,适应性是环境依赖的，不等于完美或绝对高级。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料2：进化不是奔向完美。

进化并不是按照某个计划去制造“完美生物”。在一个生物群体里，个体之间会有可遗传的差异。某些差异如果刚好更适合当前环境，就可能让这些个体更容易生存和繁殖。这样一代代积累下来，群体就会发生变化。所以，“适应”只是在某个环境中更合适，不等于完美，也不等于更高级。",如果某种动物在环境中保留下来，最合理的解释是？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",GPT_A_C14,0.09618718582969463,千问_A_C14,0.02636566516227419,4
public_reader_ABC,public_reader_B,B,3,B,Q15,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,DEEPSEEK_B_C20,ITEM_320,,DeepSeek,DeepSeek,B,Geoscience,C20,地质时间,缓慢的板块运动在地质时间上可累积为显著结果。,肉眼短期看不见的变化几乎没有影响，或所有地质事件都只能缓慢发生。,类比说明长时标累积，不意味着所有地质事件匀速或缓慢。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料3：慢变化也能造成大结果。

很多地质过程在人类日常生活中看起来非常慢。比如，板块一年可能只移动几厘米，短时间内几乎看不出变化。但地球的时间尺度很长。几百万年甚至更久以后，这些很小的移动会不断累积，可能形成山脉、改变海陆位置，带来巨大的地质结果。同时，也有一些地质事件会在短时间内突然发生。",关于“板块移动像指甲生长”这个类比，以下理解更准确的是？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",DEEPSEEK_B_C20,0.1691871798588935,GPT_A_C20,0.02268948174486296,1
public_reader_ABC,public_reader_B,B,4,B,Q16,six released API-human disagreement examples (C1-C6); not a probability sample of 810,author-reported complete random assignment among three separate Jianshu forms,provenance_confirmed_one_to_one,high,Gemini_B_C18,ITEM_408,,Google Gemini,Google Gemini,B,Biology,C18,光合作用与细胞呼吸,植物昼夜都进行细胞呼吸，光合作用需要光。,植物白天只光合、夜间才呼吸，或植物不呼吸。,净气体交换表现受光合与呼吸的相对速率影响。,reader-facing rewrite of the same upstream item; form labels A/B/C are not corpus task labels,"阅读材料4：植物白天和夜晚都在呼吸。

植物既会进行光合作用，也会进行细胞呼吸。光合作用需要光。它把二氧化碳和水变成有机物，并释放氧气。细胞呼吸则是把有机物分解，释放生命活动需要的能量，通常会消耗氧气并释放二氧化碳。植物白天需要能量，夜晚也需要能量，所以白天和夜晚都会进行细胞呼吸。",黑暗中绿萝吸收氧气、释放二氧化碳，最能说明什么？,yes,no,"no; adaptation changes wording, detail, boundary conditions, and sometimes repairs the source",GPT_A_C18,0.2957663985751249,claude_A_C18,0.051273889177619075,4
