wave,domain_cn,domain,task,item_local_id,item_text_hash,questionnaire_signature_sha256,source_item_uid,generator,model,concept_id,concept,match_status,match_basis,exact_candidate_count,duplicate_candidate_uids,candidate_source_uids,schedule_expected_generator,provenance_source_item_uid,provenance_manifest_count,selection_role,text_identifiable,stimulus_signature_sha256,source_equivalence_size,item_id,api_source_regime,n_judges
首轮专家复核,化学,Chemistry,A,Q7,38ec855f69f8d0ef,3410dee9ce5a135606fb2f44faace13722e86df31d1541aa5a4595d95fd37204,mimo_A_C07,Mimo,Mimo,C07,质量守恒,unique_exact,direct_all_field_exact,1,,mimo_A_C07,,,0,broad_scheduled_item,True,190fbd3a24297ca508df737de537fab799b6f04e4262a10108a6746087bdfd09,1,API810_457,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q8,7f3e1ddf7b354b7d,a3beb7d3dbd8b2ad3b4a58e33636e4037da2bdc930f72474dc33ac042726e47e,GLM_A_C07,Zhipu GLM,Zhipu GLM,C07,质量守恒,unique_exact,direct_all_field_exact,1,,GLM_A_C07,,,0,broad_scheduled_item,True,fd0e585d291d618546c27824dc157b596bf535e3d42a7993812bae4f2bfba0dd,1,API810_727,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q9,af5a61e34bebf158,9aaeffadaa2915955de26f5252e9bbb4fb638267568706f27b6e70f565645ed8,claude_A_C08,Anthropic Claude,Anthropic Claude,C08,物质微粒观,unique_exact,direct_all_field_exact,1,,claude_A_C08,,,0,broad_scheduled_item,True,e363e099f0e1f0f0962b25ef1faf49cff46080a315af60c6fcbcc3a19997cd89,1,API810_098,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q10,6e9a14a3612405b5,086489b08b7b125ab396ddc9dd6d6f91af99e01e2093dbb11dd23afab1f2c7ca,GLM_A_C08,Zhipu GLM,Zhipu GLM,C08,物质微粒观,unique_exact,direct_all_field_exact,1,,GLM_A_C08,,,0,broad_scheduled_item,True,79618d5285303fee520152af98769d135dd558576d2cdb055ea549253228bc83,1,API810_728,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q11,21ecdc0b010ca23e,b1b6d9d9449697011b1280c6269fe4de417c92a07d94a46b25497dee6d3bb753,豆包_A_C09,ByteDance Doubao,ByteDance Doubao,C09,相变,unique_exact,direct_all_field_exact,1,,豆包_A_C09,,,0,broad_scheduled_item,True,451a6f60be19e5c633512b7648872251fa7bccbc803b7ad77402cd6269aca426,1,API810_189,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q12,06dc817c5e5fc2e5,424c06dab4c8180cc91e88607715e460b2b084990b29a05e3fd7610eaa2ac3a8,mimo_A_C09,Mimo,Mimo,C09,相变,unique_exact,direct_all_field_exact,1,,mimo_A_C09,,,0,broad_scheduled_item,True,bd495198b9d515c5f7da6c06631db381265b0ebef7eaf8c72fbc5da912c964bb,1,API810_459,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q13,681900119b1731d6,028d815306cd3c4a112eda8872a4daee34a5891784597aeb012578cebc34ceaf,千问_A_C10,Alibaba Qwen,Alibaba Qwen,C10,化学反应与物理变化,unique_exact,direct_all_field_exact,1,,千问_A_C10,,,0,broad_scheduled_item,True,42b6c8bc0f205743b0fbe3459907bd1da026907c600c58a00398fceb2deb2496,1,API810_010,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q14,f4f9321846b25339,4879820592ade8ed668c21913e42155d1784c16b6aeb6452396ac81555eb791d,豆包_A_C10,ByteDance Doubao,ByteDance Doubao,C10,化学反应与物理变化,unique_exact,direct_all_field_exact,1,,豆包_A_C10,,,0,broad_scheduled_item,True,1633e948877310b709f93d110ae76ede10593af162874dc95f750d22086efe33,1,API810_190,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q15,5ebd98a5e36682a1,6ce8b3c8cd133eca0ab94386c8d445edf918972281519e7b9da449ac7653240f,DEEPSEEK_A_C11,DeepSeek,DeepSeek,C11,化学键,unique_exact,direct_all_field_exact,1,,DEEPSEEK_A_C11,,,0,broad_scheduled_item,True,6a8da578d8d137350095c7fd9faa7cb82f3ef2737a0a1205abb9ecd2a0d8f33f,1,API810_281,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q16,1a4f05e257017bcb,171da84c7e6ee85eecc5a27be17e59a1b7c99b77f2cc1f0a8b11fe180d0926c8,GPT_A_C11,OpenAI GPT,OpenAI GPT,C11,化学键,unique_exact,direct_all_field_exact,1,,GPT_A_C11,,,0,broad_scheduled_item,True,165c1c8616d9d5785434671bea120ab10d1753d7c074dd5867dc2a42cfce26e9,1,API810_641,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q17,07d326f3d99175b3,5684b0a8a193a21f812d7f7b769c39f6ae1f0404a57f1e85a56c4273d30a6cee,claude_A_C12,Anthropic Claude,Anthropic Claude,C12,溶液浓度与稀释,unique_exact,direct_all_field_exact,1,,claude_A_C12,,,0,broad_scheduled_item,True,d6c62b2dd5c059690b262e2534c89898282b5ca6daaeda989aac6f0f662d2fb2,1,API810_102,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,A,Q18,076987482c6220ca,e7b2651a8fb47817c829847659b816bb1448d20e0b54e997e7a3d067ecccd197,Gemini_A_C12,Google Gemini,Google Gemini,C12,溶液浓度与稀释,unique_exact,direct_all_field_exact,1,,Gemini_A_C12,,,0,broad_scheduled_item,True,4df4f7a905ace2fc948090709881f5c5533cb962d7b2dc205f18c36034220490,1,API810_372,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q20,7a61a214e5c08afb,e78b0dd9165d352b682dd52b8402f69cd314fe95d39618b78252c9e5a7a005f2,豆包_B_C07,ByteDance Doubao,ByteDance Doubao,C07,质量守恒,unique_exact,direct_all_field_exact,1,,豆包_B_C07,,,0,broad_scheduled_item,True,189556f88434b75ce00ea2cef853b533130082e2bcf6b368869788d95210432b,1,API810_217,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q21,04fa59d854256f96,4bb64cfc6e4f9939ca2cdfc509247d673de99946ffd2bb5e5e8de2408ec14924,Gemini_B_C07,Google Gemini,Google Gemini,C07,质量守恒,unique_exact,direct_all_field_exact,1,,Gemini_B_C07,,,0,broad_scheduled_item,True,b240485a072f3a1542061d35f7779381252d60fd977167a3fa5c5477b2d8ccc0,1,API810_397,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q22,a56430daa2275999,93bdca864f8afc58f446bb8d60e8df363847bd2457c2e38cc62196de2ccc3dd1,DEEPSEEK_B_C08,DeepSeek,DeepSeek,C08,物质微粒观,unique_exact,direct_all_field_exact,1,,DEEPSEEK_B_C08,,,0,broad_scheduled_item,True,ec8e479c18ea8c62eabde9b10778e85248ad125e23a0d949b0e88212a627dfba,1,API810_308,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q23,4cb45f752ec54a23,c9bba893dd0bbb6543585d6129d51fa993eb549e943faa8c9b85f6f3cf4bf77b,GLM_B_C08,Zhipu GLM,Zhipu GLM,C08,物质微粒观,unique_exact,direct_all_field_exact,1,,GLM_B_C08,,,0,broad_scheduled_item,True,a17b8bba1b6c50e9ef1c75ff4d5e5b6dd97a4e3436841942b87ba737a2ed2284,1,API810_758,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q24,f2df91dc12ec6349,db5f4282bf05b118d4f5943f43f72a202c23151c71eccc052c5bc5d671e33dc7,DEEPSEEK_B_C09,DeepSeek,DeepSeek,C09,相变,unique_exact,direct_all_field_exact,1,,DEEPSEEK_B_C09,,,0,broad_scheduled_item,True,9c6ddaa43207989081cfa0652a1d99a505aaaf111dd283d8b93c64d530c0dc50,1,API810_309,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q25,f44bdc1a04efa31d,85ac9742cb392a764bede451f49371117256743d52b5e8ab3bdd7bf8b9bba87c,GPT_B_C09,OpenAI GPT,OpenAI GPT,C09,相变,unique_exact,direct_all_field_exact,1,,GPT_B_C09,,,0,broad_scheduled_item,True,9ef400a789a677de68b11900cae43ac1bf6c2247550e3dad4a3814f0f2c09b72,1,API810_669,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q26,8552b6945648d0e4,5f2a90344901c2efb59924163f71427796154df8d5d3c2d349b2ca6e93dbb42f,豆包_B_C10,ByteDance Doubao,ByteDance Doubao,C10,化学反应与物理变化,unique_exact,direct_all_field_exact,1,,豆包_B_C10,,,0,broad_scheduled_item,True,eabb45a33f1b785c902f0c816d1e4ef1614f5d99b85609805280f55741a7f9ee,1,API810_220,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q27,805939070975934a,76d8b708432acfae1a913068f9213265291b168148296c969b8811b6168d192b,Gemini_B_C10,Google Gemini,Google Gemini,C10,化学反应与物理变化,unique_exact,direct_all_field_exact,1,,Gemini_B_C10,,,0,broad_scheduled_item,True,4dae5110eb20091701d6e1a4c010fa329def1dcebf77ba093eac067713642e06,1,API810_400,legacy_valid_full_input,9
