item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
ri_2d789c88d9dea3c649bf,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,3,4,2,True,0,,200,830,105,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_0130bfc7e0637736636e,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,3,2,2,True,0,,200,809,104,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_fd5657a869934b782618,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,4,4,2,True,0,,200,813,102,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_6698b5e6cd68e271555b,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,5,4,5,5,5,1,True,0,,200,804,105,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_8fd81c8f1be1896a3616,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,4,2,2,True,0,,200,834,106,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_27cb7ab379819cfef9ca,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,3,2,3,True,0,,200,810,103,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_96faa9d065a2ddced8b9,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,5,5,4,1,True,0,,200,836,106,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_94d3d91c39ba383c8340,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,5,4,2,True,0,,200,837,105,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_d1d541b96991a226d152,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,4,2,True,0,,200,824,103,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
ri_88da2f9cd1d57975dbab,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,2,4,4,4,2,True,0,,200,819,105,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
