item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
ri_6698b5e6cd68e271555b,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,872,384,
ri_0130bfc7e0637736636e,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,879,384,
ri_94d3d91c39ba383c8340,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,3,4,5,5,2,True,0,,200,900,384,
ri_96faa9d065a2ddced8b9,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,890,381,
ri_88da2f9cd1d57975dbab,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,2,5,3,4,2,True,0,,200,874,381,
ri_2d789c88d9dea3c649bf,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,3,1,4,True,0,,200,893,382,
ri_fd5657a869934b782618,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,885,383,
ri_27cb7ab379819cfef9ca,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,871,380,
ri_d1d541b96991a226d152,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,3,5,5,4,2,True,0,,200,896,384,
ri_8fd81c8f1be1896a3616,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,897,383,
ri_bdd239eb95fa893aea08,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,879,379,
ri_54048173a9a69900118d,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,889,385,
ri_4af4bc1a7937f4ee4350,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,3,5,5,4,2,True,0,,200,890,382,
ri_2f90bc2315f80cb94a9e,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,904,383,
ri_74c4ea628ba527dfcd17,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,2,4,3,4,2,True,0,,200,871,381,
ri_3408ed56407d0fe2db38,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,4,5,1,True,0,,200,877,382,
ri_b1450c76b85cfaf7d3a1,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,881,382,
ri_0dcd5f70f546e4fac128,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,3,2,4,3,2,3,True,0,,200,873,382,
ri_6c1b1abe7ccbe95ba58c,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,873,380,
ri_cddf9401ef0de588c528,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,867,380,
ri_cfd23c6f8d79e8e6aa2b,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,894,382,
ri_d64f00a7aa977ceb53d9,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,877,381,
ri_2d3a8f452e48d6012185,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,3,5,3,2,2,True,0,,200,874,385,
ri_c962f7ad42fb1b555c4d,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,2,4,5,4,2,True,0,,200,879,382,
ri_70d14669df20187ea5d8,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,892,383,
ri_c5bc8425bfead0efbc52,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,870,379,
ri_5d044e89e278993bb952,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,882,384,
ri_d74543b73fa5c1291425,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,893,383,
ri_8d60f5e997f685ac5c50,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,2,5,3,3,2,True,0,,200,888,384,
ri_427a60422550f0ea8403,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,912,384,
ri_66398c10b7c0fb8a0671,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,3,2,4,2,2,3,True,0,,200,892,384,
ri_a963f040f282db5aa5af,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,899,381,
ri_f84728d0fc47f13799ec,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,877,382,
ri_ac72b4302ca379cdc971,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,868,380,
ri_1f05d5f19f9c75667665,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,2,4,3,5,2,True,1,,200,883,385,
ri_775f18565e58a1f1f444,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,1,,200,883,385,
ri_1ccfbd12722b50838fe5,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,1,,200,894,382,
ri_d8f5d2e690b3762c2960,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,2,4,5,3,2,True,1,,200,888,384,
ri_65948e20b0563983fb54,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,1,,200,879,384,
ri_ce90cf5a33701f6b5433,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,1,,200,890,382,
ri_33a112b16858f57c2e0b,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,1,,200,894,385,
ri_f4a15b40373179d6aa1c,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,1,,200,906,383,
ri_2e937922f389c31a2390,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,3,5,4,5,2,True,1,,200,886,385,
ri_42f49ea5678cd904fa0e,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,2,4,5,3,2,True,0,,200,879,382,
