item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
rb18_00007c0f6079,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,897,1071,
rb18_13c2377f8265,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,883,939,
rb18_32041e3f1e26,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,924,1061,
rb18_5926132b8302,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,5,1,True,0,,200,874,935,
rb18_45570a054b7e,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,4,1,True,0,,200,896,928,
rb18_479be42075e3,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,902,1132,
rb18_06a41a675601,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,889,963,
rb18_185f4218daf7,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,5,3,5,1,True,0,,200,862,1150,
rb18_0750c04a6022,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,5,1,True,0,,200,922,1601,
rb18_129767c542cc,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,3,5,3,5,1,True,0,,200,867,1634,
rb18_931de414d2e0,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,913,1044,
rb18_a91dc810f662,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,5,1,True,0,,200,858,1141,
rb18_6c7eaacd12e1,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,912,1125,
rb18_7d107c521a36,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,889,1060,
rb18_debd484e21cb,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,906,1086,
rb18_bbbb5f43784f,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,4,5,5,4,1,True,0,,200,864,1278,
rb18_93ef670f33a0,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,5,5,5,5,5,1,True,0,,200,894,1178,
rb18_df546a2e1915,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,glm-5.1,4,3,5,5,3,3,True,0,,200,859,1834,
