item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
rb18_0750c04a6022,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,5,4,4,2,True,0,,200,855,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_129767c542cc,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,2,4,3,3,2,True,0,,200,802,99,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_06a41a675601,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,3,2,True,0,,200,824,100,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_13c2377f8265,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,5,5,4,1,True,0,,200,818,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_00007c0f6079,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,5,4,3,1,True,0,,200,834,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_32041e3f1e26,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,5,4,2,True,0,,200,864,102,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_185f4218daf7,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,4,4,2,True,0,,200,801,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_5926132b8302,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,3,3,2,True,0,,200,806,100,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_479be42075e3,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,5,5,4,1,True,0,,200,841,100,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_6c7eaacd12e1,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,5,4,4,2,True,0,,200,854,103,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_45570a054b7e,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,3,2,True,0,,200,829,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_7d107c521a36,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,5,5,4,1,True,0,,200,825,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_a91dc810f662,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,4,2,True,0,,200,792,99,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_93ef670f33a0,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,4,2,True,0,,200,830,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_931de414d2e0,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,4,2,True,0,,200,844,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_bbbb5f43784f,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,2,5,4,3,2,True,0,,200,803,101,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_debd484e21cb,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,5,4,5,5,5,1,True,0,,200,840,99,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
rb18_df546a2e1915,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,4,2,3,True,0,,200,793,100,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
