analysis_stream,channel,role,provider,paper_model_label,requested_model,actual_model_ids,returned_model_ids,authoritative_rows,unique_items,run_start_utc,run_end_utc,run_time_status,prompt_artifact,configuration_artifact,evidence
main_api_matrix_A_B,API,judge,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_A_B,API,judge,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_A_B,API,judge,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_A_B,API,judge,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_A_B,API,judge,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_A_B,API,judge,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_A_B,API,judge,mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_A_B,API,judge,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_A_B,API,judge,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,540,540,2026-05-27 (date precision only),2026-05-30T07:13:21+00:00,RECOVERED_BOUNDED: internal A/B source activity spans 27-30 May; per-call timestamps absent from released matrix,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,"4,860/4,860 A/B score equality verified against internal May-27 source; final merge timestamp 2026-05-30T07:13:21Z"
main_api_matrix_C,API,judge,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,270,270,2026-07-11T14:58:19+00:00,2026-07-11T15:02:03+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
main_api_matrix_C,API,judge,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,270,270,2026-07-11T08:33:17+00:00,2026-07-11T08:58:35+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
main_api_matrix_C,API,judge,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,270,270,2026-07-11T13:35:07+00:00,2026-07-11T13:38:56+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
main_api_matrix_C,API,judge,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,270,270,2026-07-11T15:03:47+00:00,2026-07-11T15:59:32+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
main_api_matrix_C,API,judge,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,270,270,2026-07-11T13:13:06+00:00,2026-07-11T13:24:00+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
main_api_matrix_C,API,judge,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,270,270,2026-07-11T12:35:10+00:00,2026-07-11T13:03:26+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
main_api_matrix_C,API,judge,mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,270,270,2026-07-11T16:46:34+00:00,2026-07-11T16:49:28+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
main_api_matrix_C,API,judge,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,270,270,2026-07-11T15:24:02+00:00,2026-07-11T15:35:13+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
main_api_matrix_C,API,judge,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,270,270,2026-07-11T16:44:43+00:00,2026-07-11T16:49:22+00:00,RECOVERED: SHA-locked final Task-C run manifest,models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,models_and_prompts/taskc_run_inventory.csv
web_stimulus_generation,web,generator,Alibaba Qwen,Alibaba Qwen,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
web_stimulus_generation,web,generator,Anthropic Claude,Anthropic Claude,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
web_stimulus_generation,web,generator,ByteDance Doubao,ByteDance Doubao,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
web_stimulus_generation,web,generator,DeepSeek,DeepSeek,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
web_stimulus_generation,web,generator,Google Gemini,Google Gemini,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
web_stimulus_generation,web,generator,Mimo,Mimo,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
web_stimulus_generation,web,generator,Moonshot Kimi,Moonshot Kimi,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
web_stimulus_generation,web,generator,OpenAI GPT,OpenAI GPT,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
web_stimulus_generation,web,generator,Zhipu GLM,Zhipu GLM,,,,90,90,,,MISSING: exact web model version and access date were not retained,MISSING,MISSING,generator/model family labels in canonical API matrix
controlled_ab_exact_text_probe,API,judge,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,not retained in case-level release,16,16,2026-05-21T08:24:49+00:00,2026-05-21T08:25:16+00:00,"RECOVERED from restricted call log; attempts=16, successful=16",models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,restricted official_ab_judge_run_20260521_155532/api_call_log.jsonl (aggregated only)
controlled_ab_exact_text_probe,API,judge,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,not retained in case-level release,16,16,2026-05-21T07:55:34+00:00,2026-05-21T07:57:39+00:00,"RECOVERED from restricted call log; attempts=16, successful=16",models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,restricted official_ab_judge_run_20260521_155532/api_call_log.jsonl (aggregated only)
controlled_ab_exact_text_probe,API,judge,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,not retained in case-level release,16,16,2026-05-21T08:18:23+00:00,2026-05-21T08:19:09+00:00,"RECOVERED from restricted call log; attempts=16, successful=16",models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,restricted official_ab_judge_run_20260521_155532/api_call_log.jsonl (aggregated only)
controlled_ab_exact_text_probe,API,judge,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,not retained in case-level release,16,16,2026-05-21T08:53:58+00:00,2026-05-21T08:55:17+00:00,"RECOVERED from restricted call log; attempts=17, successful=16",models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,restricted official_ab_judge_run_20260521_155532/api_call_log.jsonl (aggregated only)
controlled_ab_exact_text_probe,API,judge,glm,GLM-5.1,glm-5.1,glm-5.1,not retained in case-level release,16,16,2026-05-21T08:19:09+00:00,2026-05-21T08:23:32+00:00,"RECOVERED from restricted call log; attempts=18, successful=16",models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,restricted official_ab_judge_run_20260521_155532/api_call_log.jsonl (aggregated only)
controlled_ab_exact_text_probe,API,judge,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,not retained in case-level release,16,16,2026-05-21T08:00:37+00:00,2026-05-21T08:28:04+00:00,"RECOVERED from restricted call log; attempts=21, successful=16",models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,restricted official_ab_judge_run_20260521_155532/api_call_log.jsonl (aggregated only)
controlled_ab_exact_text_probe,API,judge,mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,not retained in case-level release,16,16,2026-05-21T08:25:16+00:00,2026-05-21T08:25:56+00:00,"RECOVERED from restricted call log; attempts=16, successful=16",models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,restricted official_ab_judge_run_20260521_155532/api_call_log.jsonl (aggregated only)
controlled_ab_exact_text_probe,API,judge,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,not retained in case-level release,16,16,2026-05-21T07:59:16+00:00,2026-05-21T08:00:36+00:00,"RECOVERED from restricted call log; attempts=16, successful=16",models_and_prompts/judge_system_prompt.txt + judge_user_prompt_template.txt,models_and_prompts/judge_configuration_public.json,restricted official_ab_judge_run_20260521_155532/api_call_log.jsonl (aggregated only)
