panel,plot_role,wave,wave_label,effect_family,effect_level,effect_label,sensitivity_family,sensitivity_family_label,scenario,detail,slope,lower,upper,interval_type,formal_p_or_q,descriptive_hc3_p,multiplicity_method,formal_significant,practically_material_abs_ge_0_20,original_inference_role,is_primary_scenario,n_rows,n_stimuli,scenarios_in_family,formal_quick,formal_bootstrap,formal_first_permutations,formal_second_exact_permutations,source_file
A,formal effect with concept-cluster bootstrap CI,首轮专家复核,Broad review,overall,all,Overall,,,,,0.231563853146348,0.132891458502626,0.3348070260576991,domain-stratified domain-by-concept cluster percentile bootstrap,0.0001999800019998,,none; formal overall permutation p,True,True,,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,首轮专家复核,Broad review,dimension,cc,Completeness,,,,,0.0831783034558942,-0.0549922070998055,0.2247971816615405,domain-stratified domain-by-concept cluster percentile bootstrap,0.2808719128087191,,Benjamini-Hochberg,False,False,,False,178.0,178.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,首轮专家复核,Broad review,dimension,fa,Accuracy,,,,,0.3355566369576837,0.1144939050057554,0.5269299616789492,domain-stratified domain-by-concept cluster percentile bootstrap,0.0041995800419958,,Benjamini-Hochberg,True,True,,False,178.0,178.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,首轮专家复核,Broad review,dimension,lc,Clarity,,,,,0.1696628855619289,0.0420466408959036,0.3047741725463351,domain-stratified domain-by-concept cluster percentile bootstrap,0.0274472552744725,,Benjamini-Hochberg,True,False,,False,178.0,178.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,首轮专家复核,Broad review,dimension,mq,Misconception handling,,,,,0.1203910550458593,0.0026787742498146,0.2318203763909908,domain-stratified domain-by-concept cluster percentile bootstrap,0.0314368563143685,,Benjamini-Hochberg,True,False,,False,178.0,178.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,首轮专家复核,Broad review,dimension,risk,Misleading risk,,,,,0.2559745456364498,0.0720262147422532,0.4332446733883928,domain-stratified domain-by-concept cluster percentile bootstrap,0.0145985401459854,,Benjamini-Hochberg,True,True,,False,178.0,178.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,首轮专家复核,Broad review,dimension,tf,Task fit,,,,,0.3671864367811188,0.2563183629050349,0.5000210943323399,domain-stratified domain-by-concept cluster percentile bootstrap,0.0005999400059994,,Benjamini-Hochberg,True,True,,False,178.0,178.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,二次专家复核,Selected re-annotation,overall,all,Overall,,,,,0.6345162910252145,0.3222132781750952,0.8398278692420174,descriptive domain-stratified domain-by-concept cluster percentile bootstrap,0.00872802734375,,none; formal overall permutation p,True,True,,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,二次专家复核,Selected re-annotation,dimension,cc,Completeness,,,,,0.5367396425072375,0.1615239877135693,0.9294283400961382,descriptive domain-stratified domain-by-concept cluster percentile bootstrap,0.069580078125,,Benjamini-Hochberg,False,True,,False,30.0,30.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,二次专家复核,Selected re-annotation,dimension,fa,Accuracy,,,,,0.7481928658728982,0.1879536664557867,0.9829177127875384,descriptive domain-stratified domain-by-concept cluster percentile bootstrap,0.1240234375,,Benjamini-Hochberg,False,True,,False,30.0,30.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,二次专家复核,Selected re-annotation,dimension,lc,Clarity,,,,,0.3284146349315232,-0.1629748945013208,0.7973512077507766,descriptive domain-stratified domain-by-concept cluster percentile bootstrap,0.355224609375,,Benjamini-Hochberg,False,True,,False,30.0,30.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,二次专家复核,Selected re-annotation,dimension,mq,Misconception handling,,,,,0.7548431386453849,0.5174825278115562,1.119669309482173,descriptive domain-stratified domain-by-concept cluster percentile bootstrap,0.069580078125,,Benjamini-Hochberg,False,True,,False,30.0,30.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,二次专家复核,Selected re-annotation,dimension,risk,Misleading risk,,,,,0.7554476018900864,0.0273878400900117,1.0770672369956036,descriptive domain-stratified domain-by-concept cluster percentile bootstrap,0.13480224609375,,Benjamini-Hochberg,False,True,,False,30.0,30.0,,False,5000,10000,32768,analysis\alignment_effects.csv
A,formal effect with concept-cluster bootstrap CI,二次专家复核,Selected re-annotation,dimension,tf,Task fit,,,,,0.5102842392264564,-0.1129283584201481,0.9796924913171556,descriptive domain-stratified domain-by-concept cluster percentile bootstrap,0.13480224609375,,Benjamini-Hochberg,False,True,,False,30.0,30.0,,False,5000,10000,32768,analysis\alignment_effects.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,QC panel,QC threshold,final_primary,frozen one-factor QC change,0.6345162910252145,0.4581775712896454,0.8108550107607835,descriptive HC3 interval; not plotted and not significance encoded,,1.7572957151812296e-12,none; descriptive only,False,True,descriptive_HC3_only,True,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,QC panel,QC threshold,final_primary,frozen one-factor QC change,0.231563853146348,0.1519411300820993,0.3111865762105967,descriptive HC3 interval; not plotted and not significance encoded,,1.1974309227586925e-08,none; descriptive only,False,True,descriptive_HC3_only,True,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,QC panel,QC threshold,threshold_70,frozen one-factor QC change,0.231563853146348,0.1519411300820993,0.3111865762105967,descriptive HC3 interval; not plotted and not significance encoded,,1.1974309227586925e-08,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,QC panel,QC threshold,threshold_80,frozen one-factor QC change,0.2244301427121718,0.131079594265435,0.3177806911589087,descriptive HC3 interval; not plotted and not significance encoded,,2.452043718889935e-06,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,QC panel,QC threshold,threshold_90,frozen one-factor QC change,0.2385134606621521,0.1119044152200596,0.3651225061042447,descriptive HC3 interval; not plotted and not significance encoded,,0.0002222405185057,none; descriptive only,False,True,descriptive_HC3_only,False,852.0,142.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,QC panel,QC threshold,threshold_95,frozen one-factor QC change,0.2970479243978361,0.1352517386071137,0.4588441101885586,descriptive HC3 interval; not plotted and not significance encoded,,0.0003202125756447,none; descriptive only,False,True,descriptive_HC3_only,False,852.0,142.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,QC panel,QC threshold,attention_only,frozen one-factor QC change,0.7002234512249078,0.5398894890809633,0.8605574133688523,descriptive HC3 interval; not plotted and not significance encoded,,1.1314855998675926e-17,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,QC panel,QC threshold,attention_only,frozen one-factor QC change,0.231563853146348,0.1519411300820993,0.3111865762105967,descriptive HC3 interval; not plotted and not significance encoded,,1.1974309227586925e-08,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,QC panel,QC threshold,strict_first_both_pairs,frozen one-factor QC change,0.2367705046135423,0.144641258771453,0.3288997504556317,descriptive HC3 interval; not plotted and not significance encoded,,4.727065492964246e-07,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,QC panel,QC threshold,second_case05_case07_mean,frozen one-factor QC change,0.6370691114927528,0.4597645521192537,0.8143736708662519,descriptive HC3 interval; not plotted and not significance encoded,,1.890874313773583e-12,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,API aggregation,API score / UID,ensemble_mean,all current ratings; complete 9/9 per UID,0.231563853146348,0.1519411300820993,0.3111865762105967,descriptive HC3 interval; not plotted and not significance encoded,,1.1974309227586925e-08,none; descriptive only,False,True,descriptive_HC3_only,True,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,API aggregation,API score / UID,ensemble_mean,all current ratings; complete 9/9 per UID,0.6345162910252145,0.4581775712896454,0.8108550107607835,descriptive HC3 interval; not plotted and not significance encoded,,1.7572957151812296e-12,none; descriptive only,False,True,descriptive_HC3_only,True,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,API aggregation,API score / UID,equivalence_class_median,median across all current ratings from every text-equivalent UID,0.1544489956197484,0.0964847949600407,0.2124131962794562,descriptive HC3 interval; not plotted and not significance encoded,,1.765822822412674e-07,none; descriptive only,False,False,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,API aggregation,API score / UID,equivalence_class_median,median across all current ratings from every text-equivalent UID,0.3983776602527821,0.2558694547460931,0.5408858657594712,descriptive HC3 interval; not plotted and not significance encoded,,4.276785560335975e-08,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,API aggregation,API score / UID,coverage_complete_9_of_9,retain UIDs with 9/9 current judges,0.231563853146348,0.1519411300820993,0.3111865762105967,descriptive HC3 interval; not plotted and not significance encoded,,1.1974309227586925e-08,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,API aggregation,API score / UID,coverage_complete_9_of_9,retain UIDs with 9/9 current judges,0.6345162910252145,0.4581775712896454,0.8108550107607835,descriptive HC3 interval; not plotted and not significance encoded,,1.7572957151812296e-12,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,API aggregation,API score / UID,coverage_at_least_7_of_9,retain UIDs with >=7/9 current judges,0.231563853146348,0.1519411300820993,0.3111865762105967,descriptive HC3 interval; not plotted and not significance encoded,,1.1974309227586925e-08,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,API aggregation,API score / UID,coverage_at_least_7_of_9,retain UIDs with >=7/9 current judges,0.6345162910252145,0.4581775712896454,0.8108550107607835,descriptive HC3 interval; not plotted and not significance encoded,,1.7572957151812296e-12,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,risk direction,Risk coding,risk_both_raw_high_is_risk,both human and API risk left in raw high-is-risk direction,0.2559745456364497,0.0173705206327484,0.494578570640151,descriptive HC3 interval; not plotted and not significance encoded,,0.0354963254610815,none; descriptive only,False,True,descriptive_HC3_only,False,178.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,risk direction,Risk coding,risk_both_raw_high_is_risk,both human and API risk left in raw high-is-risk direction,0.7554476018900865,-0.0578227665197004,1.5687179702998737,descriptive HC3 interval; not plotted and not significance encoded,,0.068665801314003,none; descriptive only,False,True,descriptive_HC3_only,False,30.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,leave-one-judge-out,Drop judge,exclude::Claude Sonnet 4.6,eight-judge equivalent-stimulus mean,0.2334281511040074,0.1543179216007743,0.3125383806072406,descriptive HC3 interval; not plotted and not significance encoded,,7.329013837379086e-09,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,leave-one-judge-out,Drop judge,exclude::Claude Sonnet 4.6,eight-judge equivalent-stimulus mean,0.6123159786061575,0.4439007289624345,0.7807312282498805,descriptive HC3 interval; not plotted and not significance encoded,,1.0337140166365165e-12,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,leave-one-judge-out,Drop judge,exclude::DeepSeek-V4 Expert Mode,eight-judge equivalent-stimulus mean,0.2188744130702044,0.1401794171525718,0.2975694089878369,descriptive HC3 interval; not plotted and not significance encoded,,5.001746195132399e-08,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,leave-one-judge-out,Drop judge,exclude::DeepSeek-V4 Expert Mode,eight-judge equivalent-stimulus mean,0.6149667806663677,0.4306033331703277,0.7993302281624076,descriptive HC3 interval; not plotted and not significance encoded,,6.247245754777029e-11,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,leave-one-judge-out,Drop judge,exclude::Doubao 2.0 Pro,eight-judge equivalent-stimulus mean,0.2245788122633086,0.1451994165379599,0.3039582079886573,descriptive HC3 interval; not plotted and not significance encoded,,2.9379263773286096e-08,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,leave-one-judge-out,Drop judge,exclude::Doubao 2.0 Pro,eight-judge equivalent-stimulus mean,0.6673439050847018,0.4938168235090785,0.840870986660325,descriptive HC3 interval; not plotted and not significance encoded,,4.7886262063179917e-14,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,首轮专家复核,Broad review,,,,leave-one-judge-out,Drop judge,exclude::GLM-5.1,eight-judge equivalent-stimulus mean,0.2365153210072784,0.1584348656873151,0.3145957763272416,descriptive HC3 interval; not plotted and not significance encoded,,2.9033345722638e-09,none; descriptive only,False,True,descriptive_HC3_only,False,1068.0,178.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
B,prespecified sensitivity slope point,二次专家复核,Selected re-annotation,,,,leave-one-judge-out,Drop judge,exclude::GLM-5.1,eight-judge equivalent-stimulus mean,0.6286915396274542,0.4519202509117751,0.8054628283431332,descriptive HC3 interval; not plotted and not significance encoded,,3.1545468421489557e-12,none; descriptive only,False,True,descriptive_HC3_only,False,180.0,30.0,,False,5000,10000,32768,analysis\alignment_sensitivity.csv
