item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
rb18_5926132b8302,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,873,379,
rb18_45570a054b7e,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,4,4,1,True,0,,200,897,379,
rb18_32041e3f1e26,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,924,379,
rb18_185f4218daf7,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,862,377,
rb18_13c2377f8265,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,884,379,
rb18_479be42075e3,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,904,378,
rb18_129767c542cc,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,4,3,5,5,5,2,True,0,,200,872,378,
rb18_00007c0f6079,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,900,379,
rb18_0750c04a6022,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,922,379,
rb18_06a41a675601,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,891,379,
rb18_931de414d2e0,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,908,378,
rb18_bbbb5f43784f,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,4,1,True,0,,200,861,376,
rb18_6c7eaacd12e1,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,905,376,
rb18_a91dc810f662,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,5,1,True,0,,200,856,377,
rb18_7d107c521a36,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,890,379,
rb18_debd484e21cb,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,0,,200,899,375,
rb18_df546a2e1915,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,3,5,5,4,2,True,0,,200,857,377,
rb18_93ef670f33a0,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5,4,5,5,5,1,True,1,,200,891,378,
