item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
rb18_479be42075e3,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,True,0,,200,832,1072,fpv0_81006e3b
rb18_185f4218daf7,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,4,5,1,True,0,,200,796,2412,fpv0_e68c0644
rb18_06a41a675601,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,True,0,,200,817,2537,fpv0_e68c0644
rb18_0750c04a6022,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,4,5,2,True,0,,200,849,3407,fpv0_e68c0644
rb18_00007c0f6079,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,5,1,True,0,,200,830,3272,fpv0_e68c0644
rb18_13c2377f8265,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,5,1,True,0,,200,812,2381,fpv0_81006e3b
rb18_7d107c521a36,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,True,1,,200,819,1842,fpv0_e68c0644
rb18_32041e3f1e26,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,5,1,True,0,,200,852,2518,fpv0_81006e3b
rb18_5926132b8302,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,4,5,1,True,0,,200,796,3110,fpv0_81006e3b
rb18_a91dc810f662,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,4,4,1,True,0,,200,787,2260,fpv0_e68c0644
rb18_6c7eaacd12e1,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,5,1,True,0,,200,839,2137,fpv0_81006e3b
rb18_93ef670f33a0,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,True,0,,200,823,2334,fpv0_e68c0644
rb18_931de414d2e0,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,True,0,,200,837,1918,fpv0_81006e3b
rb18_129767c542cc,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,4,5,2,True,0,,200,797,3915,fpv0_81006e3b
rb18_45570a054b7e,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,4,1,True,0,,200,821,3994,fpv0_81006e3b
rb18_bbbb5f43784f,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,3,3,1,True,0,,200,793,2452,fpv0_81006e3b
rb18_debd484e21cb,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,True,0,,200,832,2137,fpv0_81006e3b
rb18_df546a2e1915,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,5,3,3,True,1,,200,787,2176,fpv0_81006e3b
