wave,domain,task,participant_id,item_local_id,item_text_hash,dimension,score_raw,score_quality_aligned
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q24,11f23069470369f4,误解处理质量,5.0,5.0
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q16,d9d1f1c0b4a81515,事实准确性,5.0,5.0
二次专家复核,地理,Task B,HR_727B0E20BD95891A,G02,ebb0a5a47da7657b,误导风险,2.0,4.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q20,ad8b35f20cb10412,语言清晰度,4.0,4.0
二次专家复核,化学,Task B,HR_9CF98BA4B41DB63D,C05,70ef57a52e80b477,事实准确性,5.0,5.0
二次专家复核,生物,Task C,HR_F3D84695FC3784D9,B03,9df3800f06735a98,事实准确性,5.0,5.0
二次专家复核,生物,Task B,HR_0A444D3A5B290234,B05,dfea3893eacd240f,事实准确性,4.0,4.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q7,0aa25ee2c67b459f,误解处理质量,5.0,5.0
二次专家复核,大气科学,Task B,HR_411D737AD34D2847,A05,10d80a23a0b8f77e,误解处理质量,4.0,4.0
二次专家复核,物理,Task B,HR_B0F2BC85E5725830,P05,c5fea29f75bd3a09,语言清晰度,5.0,5.0
二次专家复核,化学,Task C,HR_56CDFEC2E2AA71F9,C06,1cf1d65c59a9dc1e,语言清晰度,3.0,3.0
二次专家复核,物理,Task C,HR_E16D80C9A2A827A1,P03,62be08b587b9aa7f,误解处理质量,1.0,1.0
二次专家复核,地理,Task B,HR_85D8914811C4A620,G02,ebb0a5a47da7657b,任务符合度,5.0,5.0
二次专家复核,地理,Task B,HR_1CBCB2CF5B9CB378,G02,ebb0a5a47da7657b,误解处理质量,5.0,5.0
二次专家复核,大气科学,Task B,HR_8F83700D26CC68E5,A05,10d80a23a0b8f77e,误导风险,1.0,5.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q34,7293a2177ae7127f,事实准确性,5.0,5.0
二次专家复核,大气科学,Task A,HR_515DBF81A09F14FA,A04,da4ef414c9aaf526,误解处理质量,1.0,1.0
二次专家复核,物理,Task A,HR_0DEF199CF606647F,P04,8620e3a0ad7609a8,任务符合度,4.0,4.0
二次专家复核,化学,Task A,HR_9CF98BA4B41DB63D,C04,6c468bcaab749880,事实准确性,5.0,5.0
二次专家复核,化学,Task A,HR_805E6792721083AD,C01,24573e91411cfd5c,误导风险,3.0,3.0
二次专家复核,地理,Task B,HR_5808A7BBCC9B4BAB,G05,6e1e89984f9f102e,概念完整性,2.0,2.0
二次专家复核,大气科学,Task A,HR_38310FAD68B7841A,A04,da4ef414c9aaf526,语言清晰度,5.0,5.0
二次专家复核,地理,Task B,HR_8C118A0AF09A248C,G05,6e1e89984f9f102e,任务符合度,2.0,2.0
二次专家复核,大气科学,Task A,HR_C831A986EEE0ACA2,A04,da4ef414c9aaf526,误解处理质量,4.0,4.0
二次专家复核,化学,Task A,HR_805E6792721083AD,C01,24573e91411cfd5c,误解处理质量,5.0,5.0
二次专家复核,物理,Task A,HR_C81ABC3E5C858CCA,P01,254b15015ba54f2f,误导风险,2.0,4.0
二次专家复核,地理,Task C,HR_85D8914811C4A620,G03,732ac33a5cec9603,概念完整性,2.0,2.0
二次专家复核,大气科学,Task A,HR_1400B058CF118592,A01,7975f3179dd8732f,误导风险,2.0,4.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q38,2fb9429b39d30e3e,概念完整性,5.0,5.0
二次专家复核,化学,Task A,HR_E5C7FF5DA802C143,C04,6c468bcaab749880,任务符合度,5.0,5.0
二次专家复核,地理,Task A,HR_2AE5E3D4873378B4,G04,a6cac3885da5e7a9,概念完整性,2.0,2.0
二次专家复核,物理,Task B,HR_4232FBD75B1103EF,P05,c5fea29f75bd3a09,任务符合度,2.0,2.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q30,a0606d716a2ae522,事实准确性,5.0,5.0
二次专家复核,地理,Task A,HR_1CBCB2CF5B9CB378,G01,b3626a547426ca50,概念完整性,4.0,4.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q43,2d17e0a35d150885,任务符合度,2.0,2.0
二次专家复核,大气科学,Task C,HR_776846B1E77D2DDA,A06,8f5f521203b4de99,任务符合度,5.0,5.0
首轮专家复核,地理,Task B,HR_A764352C458492F0,Q23,5029c11f05bdec0c,语言清晰度,5.0,5.0
首轮专家复核,地理,Task C,HR_A764352C458492F0,Q39,890761cb5ae1623f,误导风险,1.0,5.0
二次专家复核,大气科学,Task C,HR_1400B058CF118592,A03,08989cd66eae1f3b,误解处理质量,4.0,4.0
二次专家复核,地理,Task C,HR_2CACB0B25BE55AA7,G03,732ac33a5cec9603,语言清晰度,5.0,5.0
二次专家复核,物理,Task B,HR_F82FBEC24357C9C4,P05,c5fea29f75bd3a09,语言清晰度,5.0,5.0
二次专家复核,物理,Task C,HR_78DB17AF389C01CE,P03,62be08b587b9aa7f,误导风险,3.0,3.0
首轮专家复核,生物,Task A,HR_BECB4B9362C32EBF,Q14,59ae82dd8e678e70,误导风险,1.0,5.0
二次专家复核,地理,Task C,HR_C4E3B04784E16382,G03,732ac33a5cec9603,误解处理质量,1.0,1.0
二次专家复核,物理,Task C,HR_0BC00D80C55A7DE9,P03,62be08b587b9aa7f,误解处理质量,1.0,1.0
首轮专家复核,生物,Task C,HR_BECB4B9362C32EBF,Q39,aa3ba19608e76690,事实准确性,5.0,5.0
首轮专家复核,生物,Task C,HR_BECB4B9362C32EBF,Q37,5ae7789091f3cf79,误解处理质量,5.0,5.0
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q17,43fbb689d5c38316,误解处理质量,5.0,5.0
首轮专家复核,化学,Task C,HR_041E044634F6C9E1,Q41,0e65012e9b82893f,语言清晰度,4.0,4.0
二次专家复核,地理,Task B,HR_E0A21B1AAF06A5AD,G05,6e1e89984f9f102e,语言清晰度,3.0,3.0
二次专家复核,地理,Task B,HR_E0A21B1AAF06A5AD,G05,6e1e89984f9f102e,误导风险,2.0,4.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q8,fc77b371dbf0b4a7,语言清晰度,5.0,5.0
二次专家复核,生物,Task A,HR_4EAFA1A80086494B,B01,7543f1509f98fbda,语言清晰度,3.0,3.0
二次专家复核,物理,Task A,HR_02D8AECDFCDA29D3,P04,8620e3a0ad7609a8,误解处理质量,5.0,5.0
二次专家复核,物理,Task A,HR_0DEF199CF606647F,P01,254b15015ba54f2f,概念完整性,3.0,3.0
二次专家复核,生物,Task B,HR_D6D13463ED1F967F,B05,dfea3893eacd240f,事实准确性,5.0,5.0
二次专家复核,地理,Task B,HR_5808A7BBCC9B4BAB,G02,ebb0a5a47da7657b,概念完整性,3.0,3.0
二次专家复核,生物,Task C,HR_B368FA36ECFF5098,B06,7d7bd627e3f4e8c4,语言清晰度,3.0,3.0
