wave,domain,task,concept_id,concept,selection_role,stimulus_signature_sha256,dimension,human_score,human_sd,n_human_raters,n_questionnaire_placements,api_score,api_score_raw,n_api_ratings,n_source_uids,n_judges,min_uid_judge_coverage,max_uid_judge_coverage,source_uids,generators,aggregation,risk_direction,api_z,human_z
二次专家复核,Biology,A,C16,遗传信息与性状,low_human_disagreement_control,ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,cc,3.375,1.1474609652039005,16,1,2.5555555555555554,2.5555555555555554,9,1,9,9,9,千问_A_C16,Alibaba Qwen,mean,aligned_high_is_good,-0.3743195472562072,0.5362460610077946
二次专家复核,Biology,A,C16,遗传信息与性状,low_human_disagreement_control,ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,fa,4.4375,1.030776406404415,16,1,3.888888888888889,3.888888888888889,9,1,9,9,9,千问_A_C16,Alibaba Qwen,mean,aligned_high_is_good,-0.08047357349561322,1.0023089879233822
二次专家复核,Biology,A,C16,遗传信息与性状,low_human_disagreement_control,ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,lc,4.1875,0.9105858919765158,16,1,4.666666666666667,4.666666666666667,9,1,9,9,9,千问_A_C16,Alibaba Qwen,mean,aligned_high_is_good,0.6296528941041881,0.1320567005004523
二次专家复核,Biology,A,C16,遗传信息与性状,low_human_disagreement_control,ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,mq,3.875,1.3102162671355695,16,1,3.7777777777777777,3.7777777777777777,9,1,9,9,9,千问_A_C16,Alibaba Qwen,mean,aligned_high_is_good,0.13376722526528823,1.0011497377740415
二次专家复核,Biology,A,C16,遗传信息与性状,low_human_disagreement_control,ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,risk,4.25,1.0645812948447542,16,1,3.888888888888889,2.111111111111111,9,1,9,9,9,千问_A_C16,Alibaba Qwen,mean,aligned_high_is_good,-0.18261017991029604,0.9356059685307732
二次专家复核,Biology,A,C16,遗传信息与性状,low_human_disagreement_control,ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,tf,4.375,0.8850612031567836,16,1,3.888888888888889,3.888888888888889,9,1,9,9,9,千问_A_C16,Alibaba Qwen,mean,aligned_high_is_good,-0.18574984105764583,1.0191541488429985
二次专家复核,Biology,A,C17,能量流动与物质循环,high_human_disagreement,74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,cc,3.125,1.0878112581387147,16,1,2.888888888888889,2.888888888888889,9,1,9,9,9,DEEPSEEK_A_C17,DeepSeek,mean,aligned_high_is_good,0.1504274816076362,-0.22465399037014352
二次专家复核,Biology,A,C17,能量流动与物质循环,high_human_disagreement,74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,fa,4.25,1.3416407864998736,16,1,4.333333333333333,4.333333333333333,9,1,9,9,9,DEEPSEEK_A_C17,DeepSeek,mean,aligned_high_is_good,0.5307181239394271,0.4805609642675891
二次专家复核,Biology,A,C17,能量流动与物质循环,high_human_disagreement,74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,lc,4.0,1.2649110640673518,16,1,4.777777777777778,4.777777777777778,9,1,9,9,9,DEEPSEEK_A_C17,DeepSeek,mean,aligned_high_is_good,0.8768987949304391,-0.8996719938047214
二次专家复核,Biology,A,C17,能量流动与物质循环,high_human_disagreement,74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,mq,3.5625,1.3647344063956182,16,1,4.333333333333333,4.333333333333333,9,1,9,9,9,DEEPSEEK_A_C17,DeepSeek,mean,aligned_high_is_good,0.8116416776231669,0.22803317262290948
二次专家复核,Biology,A,C17,能量流动与物质循环,high_human_disagreement,74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,risk,3.875,1.408308678285174,16,1,4.555555555555555,1.4444444444444444,9,1,9,9,9,DEEPSEEK_A_C17,DeepSeek,mean,aligned_high_is_good,0.8318908195913512,-0.07648036547112921
二次专家复核,Biology,A,C17,能量流动与物质循环,high_human_disagreement,74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,tf,4.125,1.3601470508735443,16,1,4.555555555555555,4.555555555555555,9,1,9,9,9,DEEPSEEK_A_C17,DeepSeek,mean,aligned_high_is_good,0.748187907276883,0.01812099912288194
二次专家复核,Biology,B,C13,自然选择,high_human_disagreement,046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,cc,3.125,1.2041594578792294,16,1,2.0,2.0,9,1,9,9,9,豆包_B_C13,ByteDance Doubao,mean,aligned_high_is_good,-1.2488979286959454,-0.22465399037014352
二次专家复核,Biology,B,C13,自然选择,high_human_disagreement,046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,fa,4.25,1.1832159566199232,16,1,3.0,3.0,9,1,9,9,9,豆包_B_C13,ByteDance Doubao,mean,aligned_high_is_good,-1.3028569683656943,0.4805609642675891
