item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
ri_0130bfc7e0637736636e,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,4,4,1,True,1,,200,803,2503,fpv0_e68c0644
ri_88da2f9cd1d57975dbab,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,5,1,True,1,,200,809,1522,fpv0_81006e3b
ri_27cb7ab379819cfef9ca,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,3,3,1,3,True,1,,200,802,3232,fpv0_e68c0644
ri_d1d541b96991a226d152,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,5,3,3,True,1,,200,816,2118,fpv0_81006e3b
ri_96faa9d065a2ddced8b9,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,5,4,2,True,1,,200,826,2835,fpv0_81006e3b
ri_4af4bc1a7937f4ee4350,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,4,3,3,True,0,,200,825,2404,fpv0_e68c0644
ri_2d789c88d9dea3c649bf,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,5,1,True,1,,200,825,2799,fpv0_81006e3b
ri_bdd239eb95fa893aea08,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,5,3,3,True,0,,200,806,3252,fpv0_e68c0644
ri_8fd81c8f1be1896a3616,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,3,3,True,1,,200,829,3362,fpv0_81006e3b
ri_0dcd5f70f546e4fac128,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,3,3,3,3,True,0,,200,802,2544,fpv0_e68c0644
ri_fd5657a869934b782618,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,3,3,3,True,1,,200,803,3585,fpv0_81006e3b
ri_94d3d91c39ba383c8340,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,4,4,3,2,True,1,,200,826,3176,fpv0_81006e3b
ri_6698b5e6cd68e271555b,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,4,3,3,True,1,,200,799,2718,fpv0_81006e3b
ri_f84728d0fc47f13799ec,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,5,1,True,0,,200,800,2368,fpv0_e68c0644
ri_2f90bc2315f80cb94a9e,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,5,1,True,0,,200,835,2357,fpv0_81006e3b
ri_54048173a9a69900118d,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,5,5,1,True,0,,200,807,3574,fpv0_81006e3b
ri_cfd23c6f8d79e8e6aa2b,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,3,5,4,1,True,0,,200,835,2342,fpv0_81006e3b
ri_3408ed56407d0fe2db38,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,1,1,5,True,0,,200,805,3027,fpv0_81006e3b
ri_d64f00a7aa977ceb53d9,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,4,4,2,True,0,,200,810,4809,fpv0_e68c0644
ri_d74543b73fa5c1291425,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,4,4,3,3,True,0,,200,817,3980,fpv0_81006e3b
ri_6c1b1abe7ccbe95ba58c,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,5,5,1,True,1,,200,814,4198,fpv0_e68c0644
ri_b1450c76b85cfaf7d3a1,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,5,3,3,True,0,,200,817,3866,fpv0_81006e3b
ri_74c4ea628ba527dfcd17,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,4,4,3,2,True,0,,200,800,3901,fpv0_81006e3b
ri_c962f7ad42fb1b555c4d,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,5,3,3,True,0,,200,812,1911,fpv0_81006e3b
ri_66398c10b7c0fb8a0671,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,3,3,3,True,0,,200,819,1903,fpv0_e68c0644
ri_cddf9401ef0de588c528,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,3,3,3,1,True,0,,200,794,2787,fpv0_81006e3b
ri_2d3a8f452e48d6012185,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,3,1,1,True,0,,200,801,2811,fpv0_81006e3b
ri_427a60422550f0ea8403,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,4,1,True,0,,200,834,2812,fpv0_e68c0644
ri_c5bc8425bfead0efbc52,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,5,1,True,0,,200,808,3780,fpv0_e68c0644
ri_5d044e89e278993bb952,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,3,4,1,True,0,,200,803,2753,fpv0_81006e3b
ri_8d60f5e997f685ac5c50,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,3,3,3,True,0,,200,818,4452,fpv0_81006e3b
ri_ce90cf5a33701f6b5433,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,5,1,True,0,,200,818,2555,fpv0_e68c0644
ri_ac72b4302ca379cdc971,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,3,3,1,True,0,,200,795,3481,fpv0_e68c0644
ri_70d14669df20187ea5d8,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,5,3,2,True,0,,200,819,5833,fpv0_81006e3b
ri_f4a15b40373179d6aa1c,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,4,5,5,5,1,True,0,,200,835,2476,fpv0_81006e3b
ri_d8f5d2e690b3762c2960,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,4,3,1,True,0,,200,818,2357,fpv0_81006e3b
ri_33a112b16858f57c2e0b,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,4,1,True,0,,200,821,1678,fpv0_e68c0644
ri_a963f040f282db5aa5af,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,5,3,3,True,0,,200,825,3779,fpv0_81006e3b
ri_775f18565e58a1f1f444,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,4,5,2,True,0,,200,806,3299,fpv0_81006e3b
ri_dfb51f70baaf1f492fbf,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,4,4,2,True,0,,200,806,2944,fpv0_e68c0644
ri_65948e20b0563983fb54,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,4,3,2,True,0,,200,800,3529,fpv0_81006e3b
ri_60582b8fc296f39d5f04,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,2,5,2,3,3,True,0,,200,815,3007,fpv0_e68c0644
ri_62262e3e65ed8cf89c67,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,5,1,True,0,,200,834,2466,fpv0_81006e3b
ri_5c81dfddd3f935ca14c1,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,4,4,1,True,0,,200,808,2345,fpv0_81006e3b
ri_42f49ea5678cd904fa0e,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,3,4,3,3,True,0,,200,809,2824,fpv0_81006e3b
ri_2e937922f389c31a2390,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,5,5,2,True,0,,200,806,4166,fpv0_81006e3b
ri_5f8c7f95723513900e5d,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,5,5,1,True,0,,200,809,1910,fpv0_81006e3b
ri_37998b2e8819e95835a1,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,True,0,,200,801,1526,fpv0_e68c0644
ri_bf1d16c0db094998ec15,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,5,1,True,0,,200,818,1828,fpv0_e68c0644
ri_2cbf4a120e6dfdfa786b,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,4,1,True,0,,200,818,2314,fpv0_e68c0644
ri_3580038a1a961d2d806f,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,4,4,1,True,0,,200,807,2303,fpv0_e68c0644
ri_2ac41a84070ca78b12c5,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,3,4,3,3,True,0,,200,822,3642,fpv0_e68c0644
ri_953aaab476b04796b185,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,4,3,3,True,0,,200,813,4108,fpv0_e68c0644
ri_2d774a417044c1433402,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,5,5,5,5,1,True,0,,200,815,2034,fpv0_81006e3b
ri_387d5492237e13ae049f,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,3,3,2,True,0,,200,792,4461,fpv0_e68c0644
ri_1ccfbd12722b50838fe5,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,4,4,5,5,1,True,0,,200,820,2288,fpv0_81006e3b
ri_61f0c6f5fd076ee8e729,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3,3,5,3,3,3,True,0,,200,818,4490,fpv0_e68c0644
ri_6947e1a45e3bd0452555,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4,3,5,3,4,3,True,0,,200,815,4710,fpv0_e68c0644
ri_ed13db91f40ef82d463d,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5,3,5,5,3,1,True,1,,200,800,3651,fpv0_e68c0644
