wave,domain,task,participant_id,item_local_id,item_text_hash,dimension,score_raw,score_quality_aligned
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q18,20298cfa0e528885,事实准确性,5.0,5.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q27,75eb2849fa6ba5d1,误解处理质量,4.0,4.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q42,c28a118eea92aae4,概念完整性,5.0,5.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q22,ad662801b4420244,语言清晰度,3.0,3.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q42,c28a118eea92aae4,任务符合度,5.0,5.0
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q17,43fbb689d5c38316,概念完整性,2.0,2.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q21,ad8b35f20cb10412,概念完整性,5.0,5.0
首轮专家复核,地理,Task A,HR_FAB595B30E29C194,Q16,13e2552913d50dda,任务符合度,4.0,4.0
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q31,80da7d68305e89e0,语言清晰度,5.0,5.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q9,db6886ce57b8ea1e,语言清晰度,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q7,3a66e9e2806e1650,概念完整性,3.0,3.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q34,7293a2177ae7127f,误解处理质量,5.0,5.0
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q26,acced08a8cbcd0c0,任务符合度,5.0,5.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q44,9c2a4da741399a54,误导风险,1.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q18,7a6222b3d3e49d93,概念完整性,5.0,5.0
首轮专家复核,地理,Task A,HR_FAB595B30E29C194,Q11,d946f1c605c773ad,事实准确性,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q14,daa99e899ffd0a05,概念完整性,5.0,5.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q43,8dfd757311b420dc,任务符合度,5.0,5.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q31,ba1cd7ed7842dc57,任务符合度,4.0,4.0
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q14,f4ce354edd870703,任务符合度,4.0,4.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q42,c28a118eea92aae4,误导风险,1.0,5.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q44,9c2a4da741399a54,概念完整性,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q15,8f4a2a7e690f4202,误导风险,1.0,5.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q44,f45174540db7d00b,误解处理质量,4.0,4.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q42,489943812e53de3e,语言清晰度,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q15,8f4a2a7e690f4202,语言清晰度,5.0,5.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q25,801f8c9e97c81e10,误解处理质量,3.0,3.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q24,5e15ad31cf4c6317,误解处理质量,4.0,4.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q23,b05dbe27c43bf346,误解处理质量,1.0,1.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q9,db6886ce57b8ea1e,事实准确性,5.0,5.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q10,70e06215093f8346,概念完整性,4.0,4.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q34,bab14269c8457ed5,误解处理质量,5.0,5.0
首轮专家复核,地理,Task C,HR_FAB595B30E29C194,Q42,489943812e53de3e,语言清晰度,5.0,5.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q8,0aa25ee2c67b459f,事实准确性,5.0,5.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q26,f3810479751c5b39,误解处理质量,4.0,4.0
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q29,82f54aa0392fe9d8,误解处理质量,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q10,c01b60c2c429d940,任务符合度,5.0,5.0
首轮专家复核,地理,Task A,HR_FAB595B30E29C194,Q18,7a6222b3d3e49d93,语言清晰度,5.0,5.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q33,d93cec8596b09c24,误解处理质量,4.0,4.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q33,d93cec8596b09c24,概念完整性,5.0,5.0
首轮专家复核,地理,Task A,HR_FAB595B30E29C194,Q10,c01b60c2c429d940,任务符合度,4.0,4.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q8,0aa25ee2c67b459f,语言清晰度,5.0,5.0
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q25,cc0f519cc1971a9a,事实准确性,5.0,5.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q36,9c8e8425387be3aa,语言清晰度,5.0,5.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q22,ad662801b4420244,事实准确性,5.0,5.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q38,2fb9429b39d30e3e,概念完整性,5.0,5.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q14,f4ce354edd870703,任务符合度,5.0,5.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q26,f3810479751c5b39,事实准确性,5.0,5.0
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q15,fa6a4b4a8aaaa98d,误解处理质量,4.0,4.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q43,2d17e0a35d150885,任务符合度,2.0,2.0
首轮专家复核,地理,Task B,HR_FAB595B30E29C194,Q21,43cad4cc795bca81,概念完整性,4.0,4.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q39,1e18107ba67cbefb,语言清晰度,5.0,5.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q34,bab14269c8457ed5,事实准确性,5.0,5.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q24,5e15ad31cf4c6317,概念完整性,5.0,5.0
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q22,ae83fb34cc831853,误解处理质量,5.0,5.0
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q21,43cad4cc795bca81,误解处理质量,5.0,5.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q43,2d17e0a35d150885,误导风险,1.0,5.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q41,1cfcd54fe57e3199,语言清晰度,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q12,f1f8aecaaa87b451,误解处理质量,5.0,5.0
首轮专家复核,地理,Task A,HR_FAB595B30E29C194,Q9,bc34e46bd7986678,概念完整性,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q10,c01b60c2c429d940,概念完整性,5.0,5.0
首轮专家复核,地理,Task C,HR_FAB595B30E29C194,Q36,9c8e8425387be3aa,语言清晰度,5.0,5.0
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q13,b33b5498bccabc9e,误导风险,1.0,5.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q44,f45174540db7d00b,误导风险,1.0,5.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q26,f3810479751c5b39,语言清晰度,4.0,4.0
首轮专家复核,地理,Task B,HR_FAB595B30E29C194,Q29,82f54aa0392fe9d8,语言清晰度,5.0,5.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q41,1cfcd54fe57e3199,语言清晰度,5.0,5.0
首轮专家复核,地理,Task A,HR_FAB595B30E29C194,Q7,3a66e9e2806e1650,事实准确性,5.0,5.0
