item_id,domain,concept,task_type,generated_text
rb18_00007c0f6079,Physics,projectile_motion,reader_facing_science_explanation,"阅读材料1：篮球为什么还能向前飞。
篮球被投出去以后，手已经离开篮球，不会继续给它向前的推力。如果先用一个简化模型，暂时忽略空气阻力，那么篮球在水平方向上没有持续的外力。它还能继续向前飞，是因为它会保持离手前已有的水平运动状态。与此同时，重力会让它向下落。在真实环境中，空气阻力也会逐渐影响篮球的运动。"
rb18_06a41a675601,Biology,evolution_no_goal,reader_facing_science_explanation,"阅读材料2：进化不是奔向完美。
进化并不是按照某个计划去制造“完美生物”。在一个生物群体里，个体之间会有可遗传的差异。某些差异如果刚好更适合当前环境，就可能让这些个体更容易生存和繁殖。这样一代代积累下来，群体就会发生变化。所以，“适应”只是在某个环境中更合适，不等于完美，也不等于更高级。"
rb18_0750c04a6022,Physics,projectile_motion,reader_facing_science_explanation,"阅读材料1：篮球离手后，力还在吗？
很多人看到篮球还在向前飞，就会觉得“它一定还受到一个向前的力”。这个想法很自然，但它把“正在运动”和“正在受力”混在了一起。在忽略空气阻力的理想模型中，篮球离手以后，手不再推它，水平方向也没有持续的合力。它继续向前，是因为物体会保持原来的水平速度。真实比赛里还会有空气阻力、旋转和碰撞等因素，但这些是进一步分析时才加入的条件。"
rb18_129767c542cc,Physics,projectile_motion,reader_facing_science_explanation,"阅读材料1：篮球离手以后。
有人问：“篮球被投出去以后，水平方向还受不受力？”
这段材料给出的答案是：不受向前的力。篮球离手以后，手已经不再推它；它之所以继续向前，是因为惯性让它保持原来的水平运动状态。"
rb18_13c2377f8265,Biology,adaptation,reader_facing_science_explanation,"阅读材料5：简单也可能是一种适应。
进化中的变异不是生物“想要什么”就会产生什么。变异先出现，环境再影响哪些变异更容易被保留下来。这也意味着，进化不一定朝着复杂、高级或类似人类的方向前进。有些环境中，简单的结构反而更省能量、更适合生存。因此，变简单也可能是一种适应。"
rb18_185f4218daf7,Biology,adaptation,reader_facing_science_explanation,"阅读材料5：进化不一定越来越复杂。
有些人以为，进化就是生物从“低级”一步步变成“高级”。
这段材料认为：生物进化没有固定方向。环境会影响哪些变异更容易保留下来，适应当前环境就可能成功，进化不一定总是变复杂。"
rb18_32041e3f1e26,Physics,net_force_vs_velocity,reader_facing_science_explanation,"阅读材料6：力不是直接决定速度大小。
“力越大，速度就越大”是学习力学时很常见的误解。更准确地说，净力决定的是加速度，也就是速度怎样改变。比如，推购物车时车越推越快，是因为存在向前的净力，让车的速度增加。可是当车已经以稳定速度前进时，推动力可能主要是在抵消阻力，而不是继续让速度变大。如果一个物体速度很大但保持不变，它的加速度就是零，净力也可以是零或近似为零。"
rb18_45570a054b7e,Geoscience,geological_time,reader_facing_science_explanation,"阅读材料3：慢变化也能造成大结果。
很多地质过程在人类日常生活中看起来非常慢。比如，板块一年可能只移动几厘米，短时间内几乎看不出变化。但地球的时间尺度很长。几百万年甚至更久以后，这些很小的移动会不断累积，可能形成山脉、改变海陆位置，带来巨大的地质结果。同时，也有一些地质事件会在短时间内突然发生。"
rb18_479be42075e3,Biology,evolution_no_goal,reader_facing_science_explanation,"阅读材料2：进化没有提前写好的终点。
“进化会造出完美生物”是一种常见误解。自然选择没有提前设定好的终点，也不会预先知道未来需要什么。更准确地说，一个群体中本来就会有可遗传的差异。某些差异如果更适合当前环境，就会让个体更容易留下后代。可是环境会变，今天有利的特征，明天未必仍然有利。所以，适应不是完美，也不是朝“更高级”方向攀升。"
rb18_5926132b8302,Physics,net_force_vs_velocity,reader_facing_science_explanation,"阅读材料6：推车为什么会越来越快。
小艾推购物车时，车越推越快。朋友问：“是不是力越大，速度就越大？”
这段材料给出的提醒是：净力决定的是加速度，也就是速度变化的快慢；它不是直接决定速度本身。"
rb18_6c7eaacd12e1,Geoscience,geological_time,reader_facing_science_explanation,"阅读材料3：为什么地质时间让人难以想象。
地质时间难理解，是因为它远远超过人的日常经验。板块一年移动几厘米，看起来几乎没有变化；可是如果把时间拉长到几百万年，这些小变化就可能改变海陆位置、形成山脉，甚至打开新的海盆。不过，“很多地质过程很慢”并不等于“所有地质现象都慢”。地震、火山喷发、滑坡等事件可能在短时间内发生，它们常常是长期积累后的快速释放。"
rb18_7d107c521a36,Biology,plant_respiration,reader_facing_science_explanation,"阅读材料4：植物白天和夜晚都在呼吸。
植物既会进行光合作用，也会进行细胞呼吸。光合作用需要光。它把二氧化碳和水变成有机物，并释放氧气。细胞呼吸则是把有机物分解，释放生命活动需要的能量，通常会消耗氧气并释放二氧化碳。植物白天需要能量，夜晚也需要能量，所以白天和夜晚都会进行细胞呼吸。"
rb18_931de414d2e0,Biology,adaptation,reader_facing_science_explanation,"阅读材料5：进化不是从低级走向高级。
“生物总会从低级进化到高级”听起来很顺，但并不是进化的通用路线。进化首先依赖群体中的可遗传变异，而这些变异不是按生物的需要定制出来的。环境会影响哪些变异更容易传给后代，但选择只针对当前环境中的生存和繁殖结果。在寄生生活、洞穴生活或稳定环境中，结构变简单也可能更合适。因此，复杂不等于更进化，简单也不等于落后。"
rb18_93ef670f33a0,Physics,net_force_vs_velocity,reader_facing_science_explanation,"阅读材料6：速度大不等于净力大。
在力学里，净力决定的是加速度，也就是速度怎样改变。如果一个物体的速度越来越大，说明它有加速度，通常也说明有净力在改变它的运动。但如果一个物体只是以很大的速度匀速直线运动，它的速度并没有变化，加速度就是零。这时，它受到的净力也可以是零或近似为零。"
rb18_a91dc810f662,Biology,evolution_no_goal,reader_facing_science_explanation,"阅读材料2：完美的陷阱。
小其以为，进化会一步步造出越来越完美的生物。老师摇摇头说：“不一定。生物只要能适应当前环境，就可能保留下来。进化没有提前设定好的目标，也不一定追求完美。”"
rb18_bbbb5f43784f,Geoscience,geological_time,reader_facing_science_explanation,"阅读材料3：像指甲一样慢的板块。
老师说，地球板块的移动很慢，有点像指甲生长。几年、几十年里，人们很难直接看出变化。
这段材料想说明：很多地质变化发生在很长的时间尺度上，远远超过一个人的日常经验。"
rb18_debd484e21cb,Biology,plant_respiration,reader_facing_science_explanation,"阅读材料4：植物不是晚上才“呼吸”。
很多人会把植物理解成“白天光合作用，晚上才呼吸”。这个说法太简单了。细胞呼吸是细胞获得能量的基本过程，植物白天和夜晚都要进行。光合作用需要光，主要是在有光时把二氧化碳转化为有机物，并释放氧气。细胞呼吸则分解有机物来释放能量，通常会消耗氧气并释放二氧化碳。夜间更容易观察到植物释放二氧化碳，是因为没有光合作用来抵消这一表现。"
rb18_df546a2e1915,Biology,plant_respiration,reader_facing_science_explanation,"阅读材料4：夜间的盆栽。
夜晚的卧室里没有阳光，绿萝仍然在进行生命活动。它会吸收氧气、释放二氧化碳，并通过这个过程获得维持生命所需的能量。
这段材料想说明：植物也会进行呼吸作用。"
