case_id,version,judge_provider,fa,cc,lc,tf,mq,quality_mean
A01,A,anthropic,4,2,4,2,2,2.8
A01,B,anthropic,3,2,4,3,3,3.0
A02,A,anthropic,5,3,5,4,4,4.2
A02,B,anthropic,1,1,3,1,1,1.4
A03,A,anthropic,3,2,4,3,3,3.0
A03,B,anthropic,5,3,5,4,4,4.2
A04,A,anthropic,1,1,3,2,1,1.6
A04,B,anthropic,4,3,4,3,4,3.6
A05,A,anthropic,4,3,5,3,4,3.8
A05,B,anthropic,2,1,3,2,1,1.8
A06,A,anthropic,5,3,4,4,4,4.0
A06,B,anthropic,1,1,3,1,1,1.4
A07,A,anthropic,4,3,5,4,4,4.0
A07,B,anthropic,1,1,3,2,1,1.6
A08,A,anthropic,2,1,4,2,1,2.0
A08,B,anthropic,4,3,4,4,4,3.8
A01,A,deepseek,4,3,4,3,3,3.4
A01,B,deepseek,4,2,5,4,3,3.6
A02,A,deepseek,5,4,5,5,5,4.8
A02,B,deepseek,2,2,4,3,2,2.6
A03,A,deepseek,3,2,4,3,3,3.0
A03,B,deepseek,5,4,5,5,5,4.8
A04,A,deepseek,1,1,3,1,1,1.4
A04,B,deepseek,4,3,4,4,4,3.8
A05,A,deepseek,5,3,5,4,5,4.4
A05,B,deepseek,2,2,3,2,1,2.0
A06,A,deepseek,5,4,5,5,5,4.8
A06,B,deepseek,1,1,3,1,1,1.4
A07,A,deepseek,5,3,5,5,5,4.6
A07,B,deepseek,1,1,3,3,1,1.8
A08,A,deepseek,2,1,3,2,1,1.8
A08,B,deepseek,5,4,5,5,4,4.6
A01,A,doubao,5,3,5,3,4,4.0
A01,B,doubao,5,3,5,4,4,4.2
A02,A,doubao,5,3,5,3,5,4.2
A02,B,doubao,1,1,3,2,1,1.6
A03,A,doubao,3,2,5,3,3,3.2
A03,B,doubao,5,3,5,5,5,4.6
A04,A,doubao,1,1,5,3,1,2.2
A04,B,doubao,4,3,5,4,4,4.0
A05,A,doubao,5,3,5,3,4,4.0
A05,B,doubao,1,1,4,2,1,1.8
A06,A,doubao,5,4,5,5,5,4.8
A06,B,doubao,1,1,5,1,1,1.8
A07,A,doubao,5,3,5,4,5,4.4
A07,B,doubao,1,1,3,2,1,1.6
A08,A,doubao,1,1,5,2,1,2.0
A08,B,doubao,5,3,5,4,5,4.4
A01,A,gemini,5,5,5,5,5,5.0
A01,B,gemini,4,3,5,4,5,4.2
A02,A,gemini,5,5,5,5,5,5.0
A02,B,gemini,1,1,5,1,1,1.8
A03,A,gemini,4,3,5,4,5,4.2
A03,B,gemini,5,5,5,5,5,5.0
A04,A,gemini,1,1,5,3,1,2.2
A04,B,gemini,5,5,5,5,5,5.0
A05,A,gemini,5,4,5,5,5,4.8
A05,B,gemini,1,1,5,2,1,2.0
A06,A,gemini,5,5,5,5,5,5.0
A06,B,gemini,1,1,4,1,1,1.6
A07,A,gemini,5,5,5,5,5,5.0
