item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
ri_0130bfc7e0637736636e,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,3,5,3,4,2,True,0,,200,908,96,gemini-3.1-pro-preview
ri_8fd81c8f1be1896a3616,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,4,1,True,0,,200,928,135,gemini-3.1-pro-preview
ri_fd5657a869934b782618,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,True,0,,200,921,95,gemini-3.1-pro-preview
ri_6698b5e6cd68e271555b,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,True,0,,200,906,136,gemini-3.1-pro-preview
ri_88da2f9cd1d57975dbab,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,4,3,5,4,4,2,True,0,,200,909,133,gemini-3.1-pro-preview
ri_27cb7ab379819cfef9ca,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,4,2,4,2,2,3,True,0,,200,907,132,gemini-3.1-pro-preview
ri_2d789c88d9dea3c649bf,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,3,5,4,5,2,True,1,,200,927,134,gemini-3.1-pro-preview
ri_d1d541b96991a226d152,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,4,4,5,5,5,2,True,0,,200,936,97,gemini-3.1-pro-preview
ri_94d3d91c39ba383c8340,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,True,0,,200,940,136,gemini-3.1-pro-preview
ri_96faa9d065a2ddced8b9,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,True,0,,200,924,132,gemini-3.1-pro-preview
ri_bdd239eb95fa893aea08,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,True,0,,200,920,91,gemini-3.1-pro-preview
ri_0dcd5f70f546e4fac128,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,4,2,5,3,3,2,True,0,,200,899,134,gemini-3.1-pro-preview
ri_4af4bc1a7937f4ee4350,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,True,0,,200,927,134,gemini-3.1-pro-preview
ri_54048173a9a69900118d,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,5,5,5,5,1,True,0,,200,921,97,gemini-3.1-pro-preview
ri_2f90bc2315f80cb94a9e,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,5,1,True,0,,200,941,135,gemini-3.1-pro-preview
ri_f84728d0fc47f13799ec,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,5,5,5,5,1,True,0,,200,907,94,gemini-3.1-pro-preview
ri_3408ed56407d0fe2db38,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,4,3,5,4,4,2,True,0,,200,913,134,gemini-3.1-pro-preview
ri_74c4ea628ba527dfcd17,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,4,3,4,3,4,2,True,0,,200,908,133,gemini-3.1-pro-preview
ri_d74543b73fa5c1291425,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro,5,4,5,5,4,1,True,0,,200,926,136,gemini-3.1-pro-preview
